City,Handler,mentions_account_top20
Amsterdam,POL_Amsterdam,"{'Politie': 171, 'AmsterdamNL': 134, 'BrandweerAA': 61, 'Burgernet_NH': 60, 'OM_Amsterdam': 49, 'opsporing_tv': 44, 'AT5': 35, 'POL_DenHaag': 8, 'RTLCrimeDesk': 8, 'Nikya33': 7, 'Het_OM': 7, 'landelijkparket': 6, 'Marechaussee': 6, 'DierenAmsterdam': 5, 'benMetMax': 5, 'POL_Amsterdam': 5, 'ErikMol3': 5, 'RWSverkeersinfo': 4, 'telegraaf': 4, 'janzo076': 4}"
Berlin,PolizeiBerlin_Epolizeiberlin,"{'polizeiberlin': 134, 'GStABerlin': 133, 'Berliner_Fw': 113, 'PolizeiBerlin_P': 112, 'VIZ_Berlin': 77, 'bpol_b': 74, 'ZivileHelden': 68, 'SBahnBerlin': 62, 'BVG_Bus': 46, 'PolizeiBerlin_E': 46, 'PolizeiBB': 44, 'BVG_Ubahn': 40, 'bpol_b_einsatz': 28, 'bka': 26, 'BVG_Tram': 25, 'BA_Mitte_Berlin': 24, 'BerlinNkl': 24, 'RegBerlin': 21, 'Oly_Berlin': 19, 'HWR_Berlin': 19}"
Bern,PoliceBern,"{'kanton_bern': 36, 'Bern_Stadt': 29, 'UQUky': 10, 'CenaJohannes': 8, 'SKPPSC': 8, 'VeritasLos': 8, 'BERNMOBIL': 8, 'fedpolCH': 8, 'BAG_OFSP_UFSP': 8, 'vinschger': 7, 'theflexnet': 7, 'PoliceBern': 7, 'sansim_tiger': 7, 'BalazsGabi': 7, 'connie_172': 6, 'LuanaNussbaum': 6, 'LXEvans': 6, 'rahelmaurer': 5, 'jeja2316': 5, 'Lehmanns38': 5}"
Copenhagen,KobenhavnPoliti,"{'AnklagereKbh': 44, 'KobenhavnPoliti': 24, 'Rigspoliti': 24, 'SikkerTrafik': 20, 'NSJPoliti': 19, 'VestegnsPoliti': 18, 'trafikhovedstad': 15, 'HBeredskab': 11, 'SjylPoliti': 11, 'koebenhavner': 11, 'NjylPoliti': 10, 'MVSJPoliti': 8, 'AnklagerSAK': 8, 'OjylPoliti': 6, 'sik_dk': 5, 'NSK_politi': 5, 'FynsPoliti': 5, 'CPHAirports': 5, 'oresundsbron': 5, 'akutberedskabet': 4}"
Helsinki,HelsinkiPoliisi,"{'DPasterstein': 108, 'SuomenPoliisi': 88, 'HelsinkiPoliisi': 87, 'JariTaponen': 52, 'Sisaministerio': 42, 'helsinki': 42, 'IUPoliisi': 35, 'krp_poliisi': 32, 'stadinbrankkari': 30, 'LUpoliisi': 27, 'Merivartiosto': 26, 'JarkkoLehtinen_': 26, 'HMakiprosi': 24, 'KaartinJR': 22, 'poliisikom': 22, 'rajavartijat': 21, 'SJKolehmainen': 19, 'HelsinkiKymp': 18, 'juusometsala': 18, 'oikeusmin': 15}"
Lisbon,psplisboaPSPCOMETLIS,"{'PSPCOMETLIS': 60, 'YouTube': 40, 'PSP_Portugal': 18, 'WebSummit': 5, 'CamaraLisboa': 4, 'ansegrodoviaria': 3, 'DGSaude': 2, 'dnpsp': 2, 'AntnioFreire2': 2, 'PedroBenevides': 1, 'AliceTrewinnard': 1, 'DailyCristina': 1, 'policia': 1, 'GamesWeek': 1, 'AssocicSalvador': 1, 'Sporting_CP': 1, 'SLBenfica': 1, 'SCBragaOficial': 1, 'FCF_Feminino': 1}"
London,CityPolicemetpoliceukMetCC,"{'MetCC': 577, 'metpoliceuk': 232, 'MetPoliceEvents': 184, 'CityPoliceCops': 169, 'samaritans': 153, 'CityPoliceIFED': 148, 'actionfrauduk': 134, 'CityPolice': 115, 'CrimestoppersUK': 107, 'CityHorses': 91, 'MPSWestminster': 85, 'CityPolicePIPCU': 74, 'TerrorismPolice': 74, 'LambethMPS': 71, 'cityoflondon': 65, 'LondonFire': 63, 'MayorofLondon': 63, 'CityPoliceDogs': 54, 'ukhomeoffice': 54, 'MPSHackney': 53}"
Madrid,policiademadrid,"{'MADRID': 75, 'DGTes': 46, 'SAMUR_PC': 44, 'WiZinkCenter': 39, 'policiademadrid': 35, 'EMTmadrid': 31, 'metro_madrid': 31, 'Madridonasangre': 31, 'Metropolitano': 30, 'LaLiga': 29, 'policia': 29, 'BomberosMad': 28, 'realmadrid': 27, 'madridsalud': 27, 'InmaSanzO': 23, 'Atleti': 23, 'EmergenciasMad': 22, 'cgm_madrid': 22, 'ComunidadMadrid': 21, 'RamonyCajalDona': 21}"
Oslo,oslopolitiops,"{'VTSost': 4, 'politietost': 4, 'oslopolitiops': 2, 'DSB_no': 1, 'beredskaposlo': 1, 'Tbanen': 1, 'Oslo110sentral': 1}"
Paris,PMdeParisprefpolice,"{'prefpolice': 524, 'PompiersParis': 127, 'GDarmanin': 92, 'Interieur_Gouv': 87, 'NunezLaurent': 80, 'nicolas_nordman': 60, 'StadeFrance': 33, 'PMdeParis': 32, 'PoliceNationale': 30, 'Paris': 28, 'JulietteAlpha17': 27, 'RoutePlusSure': 24, 'MarleneSchiappa': 24, 'cybervictimes': 23, 'Procureur93': 15, 'Prefet75_IDF': 14, 'Anne_Hidalgo': 13, 'BFMTV': 13, 'PorteParoleMI': 13, 'ARS_IDF': 13}"
Prague,MP_Praha,"{'MP_Praha': 43, 'PolicieCZ': 16, 'HasiciPraha': 10, 'PrahaEU': 7, 'zzshmp': 6, 'YouTube': 3, 'Milena67074990': 2, 'ZdenekHrib': 2, 'janekrubes': 2, 'FacebookWatch': 1, 'ivan_pilip': 1, 'MC_Praha2': 1, 'AZoulova': 1, 'JanPovysil': 1, 'Harmatova': 1, 'michalblaha': 1, 'michalillich': 1, 'JezekCZ': 1, 'Michal13Frankl': 1, 'DPPOficialni': 1}"
Riga,RigasPP,"{'Valsts_policija': 245, 'RigasDome': 162, 'MStakis': 50, 'nilsusakovs': 49, 'rdsvc': 48, 'RigasPP': 43, 'rixsatiksme': 26, 'IeM_gov_lv': 23, 'jaanisosiits': 22, 'Rigassatiksme_': 21, 'Mihails_S': 21, 'Variants_C': 20, 'aisiss': 19, 'thearmi': 19, 'ibrante': 19, 'marisjonovs': 18, 'androns': 17, 'MKossovics': 17, 'Rabarbarzs': 16, 'Huligaaans': 16}"
Roma,PLRomaCapitaleQuesturaDiRoma,"{'PLRomaCapitale': 185, 'poliziadistato': 47, 'Roma': 9, 'virginiaraggi': 3, 'GiuseppeConteIT': 3, 'luli___67': 3, 'Prefettura_Roma': 3, 'QuesturaDiRoma': 3, 'StranoAlex': 2, 'fforzano': 2, 'Palazzo_Chigi': 2, 'Corriere': 2, 'IoriaVCasa': 2, 'CarloCalenda': 2, 'Azione_it': 2, 'alexandra_jo81': 2, 'fedesisi': 2, 'Andrea0606061': 1, 'RiganteLeonardo': 1, 'Luca_Twitte': 1}"
Stockholm,polisen_sthlm,{}
Vienna,LPDWien,"{'letztegenAT': 74, 'Stadt_Wien': 65, 'wienerlinien': 27, 'msulzbacher': 26, 'MinaCanaval': 20, 'florianklenk': 19, 'goldberg_io': 19, 'GunterFehlinger': 17, 'lukas_abulesz': 17, 'BMI_OE': 15, 'LPDnoe': 14, 'buerstmayr': 14, 'BeeDj21': 14, 'MartinMsAccount': 14, 'i_am_fabs': 13, 'BgmLudwig': 11, 'erstaunlich_at': 11, 'HSteiner05': 10, 'HerrShroeder': 10, 'alltagsprolet': 10}"
