,screen_name,created_at,statuses_count,description,friends_count,followers_count,listed_count,favourites_count,City,Population,Collected_search_tweets,Strat_search_date,End_search_date,Collected_account_tweets,Strat_account_date,End_account_date,follwer_population_porpotion
0,RigasPP,Mon Sep 07 10:35:28 +0000 2009,8518,"Ja Jums ir nepieciešama steidzama policijas palīdzība, tad ziņojiet 110 vai RPP lietotnē!
Informācija par datu aizsardzību: https://t.co/3dL2CROyJk",3179,14384,115,466,Riga,742572,797.0,2023-03-18,2023-06-01,3238.0,2016-02-26,2023-05-31,0.01937051221969048
1,prefpolice,Fri Jul 09 15:24:05 +0000 2010,15604,"Compte officiel de la préfecture de Police : 75 - 92 - 93 - 94
☎️ Une urgence ? Composez le 17 ou le 112.",342,543633,2051,371,Paris,2138551,43493.0,2023-03-31,2023-06-01,3552.0,2021-02-03,2023-06-01,0.25420623590459146
2,PolizeiBerlin_E,Wed Mar 19 14:58:12 +0000 2014,17716,Hier twittert die Polizei Berlin nur zu bestimmten Anlässen. - Keine Notrufe - Keine Anzeigen -Kein 24/7 Monitoring - In Notfällen 110 wählen. Impressum:,21,437216,1290,1145,Berlin,3426354,75244.0,2023-03-27,2023-06-01,6947.0,2018-10-03,2023-06-01,0.1276038611305195
3,polizeiberlin,Wed Mar 19 14:35:26 +0000 2014,14454,"Hier twittern ^tsm, ^yt, ^bo, ^VPr & ^PPr'in für die Polizei Berlin. -Keine Notrufe- Keine Anzeigen -Kein 24/7- In Notfällen 📞110",17,556678,1492,2365,Berlin,3426354,75244.0,2023-03-27,2023-06-01,6947.0,2018-10-03,2023-06-01,0.16246949381178943
4,CityPolice,Thu Mar 26 00:18:45 +0000 2009,16048,We are the police force for the City of London 'Square Mile'. Please don't report crime here; call 101 or 999 in an emergency. Not monitored 24/7.,555,139507,1064,2175,London,8961989,218133.0,2023-04-01,2023-06-01,12244.0,2019-11-27,2023-06-01,0.015566522119141186
5,metpoliceuk,Wed Aug 19 10:41:21 +0000 2009,33932,"London's Metropolitan Police Service. 

Please do not report crime here. Call 101, tweet @MetCC or visit our website. In an emergency always call 999",792,1324405,4340,3826,London,8961989,218133.0,2023-04-01,2023-06-01,12244.0,2019-11-27,2023-06-01,0.14778025279879275
6,MetCC,Thu Oct 22 13:21:59 +0000 2015,78387,"London's Metropolitan Police Service Contact Centre (MetCC). We are available for non-emergency enquiries 24/7/365. In an emergency, always dial 999.",100,37941,233,156,London,8961989,218133.0,2023-04-01,2023-06-01,12244.0,2019-11-27,2023-06-01,0.004233546816448893
7,PMdeParis,Mon Oct 17 08:47:47 +0000 2022,228,"Compte officiel de la Police Municipale parisienne 🇫🇷
Disponibilité, proximité & exemplarité ❕
#AupresDeVous
☎️ 3975 (puis tapez 3)",91,1569,10,530,Paris,2138551,43493.0,2023-03-31,2023-06-01,3552.0,2021-02-03,2023-06-01,0.0007336743430481667
8,PLRomaCapitale,Tue Nov 05 12:35:47 +0000 2013,71306,Account ufficiale moderato dal 🗓️lun al ven ore 🕘9.00-🕕18.00.  ☎️ 0667691 Urgenze/Emergenze ☎️ 060606 per Informazioni. Questo canale non tratta segnalazioni,4,82744,337,61,Roma,2318895,606.0,2023-04-04,2023-06-01,6399.0,2016-10-19,2023-01-06,0.03568251257603298
9,QuesturaDiRoma,Mon Mar 12 16:03:11 +0000 2012,13437,"Benvenuti nel profilo ufficiale della Questura di Roma. 
Non inviate denunce o esposti relativi ad attività di Polizia. Per emergenze chiamate il 112.",22,15370,156,6,Roma,2318895,606.0,2023-04-04,2023-06-01,6399.0,2016-10-19,2023-01-06,0.006628156945441686
