user,senti_text_processed,sentimenal_res
Lisbon,- due to the execution of work to modernize the railway signaling system.,"{'Negative': 0.08869954, 'Neutral': 0.8598851, 'Positive': 0.05141544}"
Lisbon,",","{'Negative': 0.23795928, 'Neutral': 0.50049275, 'Positive': 0.26154792}"
Lisbon,",","{'Negative': 0.23795928, 'Neutral': 0.50049275, 'Positive': 0.26154792}"
Lisbon,"- casa pilar was inaugurated on september , , in the cascais police division area.","{'Negative': 0.021981116, 'Neutral': 0.92926633, 'Positive': 0.048752647}"
Lisbon,",","{'Negative': 0.23795928, 'Neutral': 0.50049275, 'Positive': 0.26154792}"
Lisbon,gi,"{'Negative': 0.23386522, 'Neutral': 0.5306118, 'Positive': 0.235523}"
Lisbon,ga,"{'Negative': 0.2550766, 'Neutral': 0.4883002, 'Positive': 0.2566232}"
Lisbon,""" ""this is how the ""no dating there is war"" campaign ends, thanking all our partners and all the public figures who have generously associated themselves with psp.","{'Negative': 0.021117771, 'Neutral': 0.3399173, 'Positive': 0.63896495}"
Lisbon,. and pedro teixeira are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.0692992, 'Neutral': 0.6726287, 'Positive': 0.25807208}"
Lisbon,. and are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.115653545, 'Neutral': 0.70492566, 'Positive': 0.17942078}"
Lisbon,. and vasco pereira coutinho are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.07473253, 'Neutral': 0.65863323, 'Positive': 0.26663426}"
Lisbon,. and students from the university of lisbon are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.05356916, 'Neutral': 0.69030744, 'Positive': 0.2561234}"
Lisbon,. and tnia ribas de oliveira are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.07894744, 'Neutral': 0.70092285, 'Positive': 0.22012967}"
Lisbon,".violence in the relationship. ""in courtship there is no war"". complaint","{'Negative': 0.4130883, 'Neutral': 0.5470774, 'Positive': 0.039834283}"
Lisbon,. and madalena abecasis are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.0966378, 'Neutral': 0.7497328, 'Positive': 0.15362938}"
Lisbon,".violence in the relationship. ""in courtship there is no war"". complaint","{'Negative': 0.4130883, 'Neutral': 0.5470774, 'Positive': 0.039834283}"
Lisbon,. and joo bettencourt are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.064218946, 'Neutral': 0.6794565, 'Positive': 0.25632453}"
Lisbon,. and madalena arago are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.11358859, 'Neutral': 0.7391689, 'Positive': 0.14724253}"
Lisbon,. and rita patrocnio are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.084734865, 'Neutral': 0.7090343, 'Positive': 0.20623082}"
Lisbon,. and tiago ges ferreira are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.11591996, 'Neutral': 0.6775515, 'Positive': 0.20652853}"
Lisbon,and are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.105622135, 'Neutral': 0.7065389, 'Positive': 0.18783897}"
Lisbon,. and eduardo frazo are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.09092048, 'Neutral': 0.6951445, 'Positive': 0.21393499}"
Lisbon,. and ana sofia cardoso are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.09147784, 'Neutral': 0.6830888, 'Positive': 0.22543341}"
Lisbon,. and rita pereira are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.103448555, 'Neutral': 0.7051503, 'Positive': 0.19140115}"
Lisbon,"the public security police presents the awareness campaign on dating violence, under the theme in dating there is no war.","{'Negative': 0.116600044, 'Neutral': 0.7761647, 'Positive': 0.1072353}"
Lisbon,. and joo baio are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.07140392, 'Neutral': 0.67598814, 'Positive': 0.2526079}"
Lisbon,".violence in the relationship. ""in courtship there is no war"". complaint","{'Negative': 0.4130883, 'Neutral': 0.5470774, 'Positive': 0.039834283}"
Lisbon,. and are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.115653545, 'Neutral': 0.70492566, 'Positive': 0.17942078}"
Lisbon,. and students from the university of lisbon are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.05356916, 'Neutral': 0.69030744, 'Positive': 0.2561234}"
Lisbon,. and ins aires pereira are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.096982785, 'Neutral': 0.7109968, 'Positive': 0.19202045}"
Lisbon,. and manuel moreira are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.149486, 'Neutral': 0.6897678, 'Positive': 0.16074617}"
Lisbon,. and hlder reis are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.13211502, 'Neutral': 0.71013206, 'Positive': 0.15775289}"
Lisbon,. and are together in the campaign there is no war in dating. complaint.,"{'Negative': 0.115653545, 'Neutral': 0.70492566, 'Positive': 0.17942078}"
Lisbon,"the public security police, in the celebration of valentine's day, presents the awareness campaign about violence in dating, under the theme ""in dating there is no war"".","{'Negative': 0.03520968, 'Neutral': 0.5631922, 'Positive': 0.40159807}"
Lisbon,( ),"{'Negative': 0.20231494, 'Neutral': 0.58059925, 'Positive': 0.21708584}"
Lisbon,-,"{'Negative': 0.3096717, 'Neutral': 0.51624846, 'Positive': 0.17407979}"
Lisbon,"on this day, psp recalls the precautions to be taken in order to avoid online scams.in case of fraud, immediately contact the institution where you have the account and report it to the competent authorities","{'Negative': 0.3243367, 'Neutral': 0.63310415, 'Positive': 0.04255913}"
Lisbon,"""""","{'Negative': 0.20736344, 'Neutral': 0.6214908, 'Positive': 0.17114581}"
Lisbon,"in public transport, double your attention.","{'Negative': 0.055764128, 'Neutral': 0.6137329, 'Positive': 0.33050302}"
Lisbon,"until the th of february, the lisbon traffic division is carrying out road inspection actions in order to detect drivers who do not respect the rules of circulation on public roads by drivers of bicycles and similar vehicles.","{'Negative': 0.5557528, 'Neutral': 0.43066424, 'Positive': 0.0135829635}"
