user,senti_text_processed,sentimenal_res
Olso,and you look in the mirror while commenting.,"{'Negative': 0.22119696, 'Neutral': 0.73173547, 'Positive': 0.04706752}"
Olso,sporveien says they have closed line to traffic but idiots at the police say between tveita and trosterud there is no possibility to turn the lane at trosterud idiots.,"{'Negative': 0.8392896, 'Neutral': 0.14659068, 'Positive': 0.014119722}"
Olso,from the scene.,"{'Negative': 0.15948686, 'Neutral': 0.6924706, 'Positive': 0.14804254}"
Olso,"should ensure that finders themselves look after what they find, until the owner is located. it is obvious that officials steal what they receive; money, weapons, stolen goods is it perhaps not desirable to have only one person responsible for looking after lost property and seizures?","{'Negative': 0.7055242, 'Neutral': 0.27709416, 'Positive': 0.017381633}"
Olso,"should ensure that finders themselves look after what they find, until the owner is located. it is obvious that officials steal what they receive; money, weapons, stolen goods is it perhaps not desirable to have only one person responsible for looking after lost property and seizures?","{'Negative': 0.7055242, 'Neutral': 0.27709416, 'Positive': 0.017381633}"
Olso,"should ensure that finders themselves look after what they find, until the owner is located. it is obvious that officials steal what they receive; money, weapons, stolen goods is it perhaps not desirable to have only one person responsible for looking after lost property and seizures?","{'Negative': 0.7055242, 'Neutral': 0.27709416, 'Positive': 0.017381633}"
Olso,"where in schweigaards gt? if you had stood at the council of europe square, you would never have had the capacity to take all the cars that drive across the ban on motor vehicles.","{'Negative': 0.67614216, 'Neutral': 0.30055147, 'Positive': 0.023306323}"
Olso,will there be collisions every day through the bonfire ban,"{'Negative': 0.5495035, 'Neutral': 0.43602207, 'Positive': 0.014474355}"
Olso,"we're not doctors, but ""bleeding injuries in hollendergate"" sounds serious.","{'Negative': 0.7321687, 'Neutral': 0.2504451, 'Positive': 0.017386235}"
Olso,= oslo's worst hole,"{'Negative': 0.9157903, 'Neutral': 0.0764066, 'Positive': 0.007803129}"
Olso,"take the bus from the city, and you get a good glimpse of the boat after vlund and away towards fiskevollen. get off the bus there and take the bus back into town and get an equally good glimpse on the way back in.","{'Negative': 0.007557165, 'Neutral': 0.25730994, 'Positive': 0.7351329}"
Olso,expect fines to be handed out in droves. or what ?,"{'Negative': 0.4250036, 'Neutral': 0.55314803, 'Positive': 0.021848394}"
Olso,can't wait to see uss gerald r ford,"{'Negative': 0.0013990545, 'Neutral': 0.014588907, 'Positive': 0.984012}"
