user,senti_text_processed,sentimenal_res
Warsaw,"we remember what tusk did, for his prostitution the peowska police did not hide in the bushes, but the sovereign in the staircases!daniel k., brutally beaten by a police officer, was sentenced in an accelerated procedure for beating an officer. november , in warsaw","{'Negative': 0.5925405, 'Neutral': 0.38927516, 'Positive': 0.018184371}"
Warsaw,"we remember what tusk did, for his prostitution the peowska police did not hide in the bushes, but the sovereign in the staircases!daniel k., brutally beaten by a police officer, was sentenced in an accelerated procedure for beating an officer. november , in warsaw","{'Negative': 0.5925405, 'Neutral': 0.38927516, 'Positive': 0.018184371}"
Warsaw,dramatic journey: woman forced into car by app driver of people ://,"{'Negative': 0.75378543, 'Neutral': 0.23751685, 'Positive': 0.008697709}"
Warsaw,dramatic journey: woman forced into car by app driver of people ://,"{'Negative': 0.75378543, 'Neutral': 0.23751685, 'Positive': 0.008697709}"
Warsaw,warsaw: ukrainian armed with an ax attacked policemen [+video] persons ://,"{'Negative': 0.81658095, 'Neutral': 0.17910242, 'Positive': 0.004316616}"
Warsaw,warsaw: ukrainian armed with an ax attacked policemen [+video] persons ://,"{'Negative': 0.81658095, 'Neutral': 0.17910242, 'Positive': 0.004316616}"
Warsaw,warsaw: ukrainian armed with an ax attacked policemen [+video] persons ://,"{'Negative': 0.81658095, 'Neutral': 0.17910242, 'Positive': 0.004316616}"
Warsaw,"what a fool you are. the one next to you in a suit in the woods looks obscene.are you setting yourself up - you (your volatile militias) were preparing some action in the forest and the police thwarted you?maybe you'd better take your own children, your husband on a picnic in the woods? career is not everything.","{'Negative': 0.9500846, 'Neutral': 0.046117917, 'Positive': 0.0037974308}"
Warsaw,i was just about to ask why the police protect the party rally,"{'Negative': 0.3552883, 'Neutral': 0.61211693, 'Positive': 0.032594748}"
Warsaw,police officers from the river police station noticed a young person whose life was in danger. the quick and decisive intervention of the police allowed to avoid a tragedy.,"{'Negative': 0.34349737, 'Neutral': 0.55089617, 'Positive': 0.10560648}"
Warsaw,yes,"{'Negative': 0.13857579, 'Neutral': 0.44127697, 'Positive': 0.42014718}"
Warsaw,the only thing that catches your eye here is a poorly glued patch.,"{'Negative': 0.46628115, 'Neutral': 0.4667182, 'Positive': 0.06700074}"
Warsaw,what do you think jews with comradeship are you sneering at any connections? bunch of you con artists and schemers. death to the enemies of the motherland. and respect for these guys,"{'Negative': 0.93565005, 'Neutral': 0.059896532, 'Positive': 0.0044534146}"
Warsaw,zukowska's grandfather had a leszy in the last year ... and urged him to torture,"{'Negative': 0.6733438, 'Neutral': 0.3182903, 'Positive': 0.008365869}"
Warsaw,from the series: we spit on polish uniforms. when will this end???,"{'Negative': 0.8989344, 'Neutral': 0.09384613, 'Positive': 0.007219429}"
Warsaw,"warsaw. doesn't know that the soldiers playing in poland are fit? an wanted poster was issued for -year-old denys levchenko. on april , the criminal escaped from the okhotsk police from the prosecutor's office. the police are asking for any information about him","{'Negative': 0.56623703, 'Neutral': 0.4198994, 'Positive': 0.01386359}"
Warsaw,"missing is the original egg designed by joanna rajkowska, which was supposed to stand on the five corners square, which was opened almost months ago. this installation can be a breakthrough at this concrete and still running, parked intersection at the helpless and","{'Negative': 0.014320512, 'Neutral': 0.49456555, 'Positive': 0.49111396}"
Warsaw,"during the polsecure fair, the gathered guests had the opportunity to watch a dynamic driving show, in which a motorcycle honorary assistant from the road traffic department presented","{'Negative': 0.0043200282, 'Neutral': 0.51887274, 'Positive': 0.4768072}"
Warsaw,"at the request of the warsaw-ochota district prosecutor's office, the court applied a preventive measure for a period of months to a -year-old detained by police officers from and krp iii, in connection with friday's beating on ul. plug.","{'Negative': 0.17195491, 'Neutral': 0.8119281, 'Positive': 0.016117023}"
