date,city,counts
2019-09-12,Amsterdam,3
2019-09-13,Amsterdam,1
2019-09-14,Amsterdam,1
2019-09-16,Amsterdam,2
2019-09-17,Amsterdam,6
2019-09-18,Amsterdam,13
2019-09-19,Amsterdam,5
2019-09-20,Amsterdam,3
2019-09-21,Amsterdam,3
2019-09-23,Amsterdam,1
2019-09-24,Amsterdam,1
2019-09-25,Amsterdam,4
2019-09-27,Amsterdam,1
2019-09-28,Amsterdam,4
2019-09-29,Amsterdam,1
2019-09-30,Amsterdam,5
2019-10-01,Amsterdam,4
2019-10-02,Amsterdam,4
2019-10-03,Amsterdam,1
2019-10-04,Amsterdam,3
2019-10-07,Amsterdam,10
2019-10-08,Amsterdam,4
2019-10-09,Amsterdam,1
2019-10-11,Amsterdam,8
2019-10-12,Amsterdam,4
2019-10-13,Amsterdam,1
2019-10-15,Amsterdam,6
2019-10-16,Amsterdam,5
2019-10-17,Amsterdam,2
2019-10-18,Amsterdam,9
2019-10-19,Amsterdam,4
2019-10-20,Amsterdam,4
2019-10-21,Amsterdam,2
2019-10-22,Amsterdam,3
2019-10-23,Amsterdam,7
2019-10-24,Amsterdam,4
2019-10-25,Amsterdam,1
2019-10-26,Amsterdam,1
2019-10-27,Amsterdam,8
2019-10-28,Amsterdam,6
2019-10-29,Amsterdam,3
2019-10-30,Amsterdam,5
2019-10-31,Amsterdam,1
2019-11-01,Amsterdam,1
2019-11-04,Amsterdam,2
2019-11-05,Amsterdam,3
2019-11-09,Amsterdam,5
2019-11-12,Amsterdam,3
2019-11-13,Amsterdam,2
2019-11-14,Amsterdam,5
2019-11-15,Amsterdam,6
2019-11-16,Amsterdam,1
2019-11-18,Amsterdam,4
2019-11-19,Amsterdam,1
2019-11-20,Amsterdam,4
2019-11-21,Amsterdam,2
2019-11-22,Amsterdam,6
2019-11-23,Amsterdam,1
2019-11-24,Amsterdam,1
2019-11-25,Amsterdam,2
2019-11-26,Amsterdam,1
2019-11-27,Amsterdam,4
2019-11-28,Amsterdam,1
2019-11-29,Amsterdam,3
2019-11-30,Amsterdam,2
2019-12-01,Amsterdam,1
2019-12-03,Amsterdam,1
2019-12-04,Amsterdam,1
2019-12-05,Amsterdam,2
2019-12-06,Amsterdam,3
2019-12-08,Amsterdam,1
2019-12-11,Amsterdam,2
2019-12-12,Amsterdam,10
2019-12-13,Amsterdam,7
2019-12-16,Amsterdam,5
2019-12-17,Amsterdam,6
2019-12-18,Amsterdam,4
2019-12-19,Amsterdam,7
2019-12-20,Amsterdam,8
2019-12-21,Amsterdam,2
2019-12-24,Amsterdam,1
2019-12-30,Amsterdam,1
2019-12-31,Amsterdam,6
2020-01-01,Amsterdam,1
2020-01-02,Amsterdam,3
2020-01-03,Amsterdam,5
2020-01-06,Amsterdam,2
2020-01-07,Amsterdam,1
2020-01-08,Amsterdam,2
2020-01-09,Amsterdam,5
2020-01-10,Amsterdam,2
2020-01-13,Amsterdam,3
2020-01-14,Amsterdam,1
2020-01-15,Amsterdam,6
2020-01-16,Amsterdam,1
2020-01-17,Amsterdam,1
2020-01-22,Amsterdam,1
2020-01-23,Amsterdam,1
2020-01-24,Amsterdam,1
2020-01-25,Amsterdam,3
2020-01-26,Amsterdam,1
2020-01-27,Amsterdam,3
2020-01-28,Amsterdam,2
2020-01-29,Amsterdam,1
2020-01-30,Amsterdam,2
2020-01-31,Amsterdam,3
2020-02-04,Amsterdam,7
2020-02-07,Amsterdam,4
2020-02-08,Amsterdam,7
2020-02-11,Amsterdam,2
2020-02-12,Amsterdam,5
2020-02-13,Amsterdam,5
2020-02-14,Amsterdam,4
2020-02-15,Amsterdam,2
2020-02-16,Amsterdam,1
2020-02-17,Amsterdam,2
2020-02-18,Amsterdam,13
2020-02-19,Amsterdam,6
2020-02-20,Amsterdam,1
2020-02-21,Amsterdam,2
2020-02-24,Amsterdam,1
2020-02-25,Amsterdam,1
2020-02-26,Amsterdam,2
2020-02-28,Amsterdam,3
2020-02-29,Amsterdam,1
2020-03-01,Amsterdam,1
2020-03-03,Amsterdam,1
2020-03-04,Amsterdam,7
2020-03-05,Amsterdam,2
2020-03-06,Amsterdam,3
2020-03-09,Amsterdam,1
2020-03-11,Amsterdam,1
2020-03-12,Amsterdam,1
2020-03-13,Amsterdam,4
2020-03-14,Amsterdam,3
2020-03-17,Amsterdam,7
2020-03-19,Amsterdam,6
2020-03-20,Amsterdam,4
2020-03-22,Amsterdam,2
2020-03-23,Amsterdam,4
2020-03-25,Amsterdam,2
2020-03-26,Amsterdam,1
2020-03-27,Amsterdam,1
2020-03-28,Amsterdam,3
2020-03-29,Amsterdam,1
2020-03-30,Amsterdam,1
2020-03-31,Amsterdam,1
2020-04-01,Amsterdam,5
2020-04-02,Amsterdam,1
2020-04-03,Amsterdam,6
