Topic,Count,Name,Representation,Representative_Docs
0,1716,0_dinxykkxmt_dm_discuss_hi,"['dinxykkxmt', 'dm', 'discuss', 'hi', 'good', 'thanks', 'link', 'details', 'thank', 'afternoon']","['@crossmetaverse Good afternoon. Please DM us to provide further information concerning this matter. Thank you https://t.co/dinxYKkXmT', '@Kandyworld6 Hi, just following up from our previous message.  Please DM using the link below, so we can take some further details. https://t.co/dinxYKkXmT', '@ParveenAliPhoto Good evening. So we can speak about this, please DM us using the link below. Thank you. https://t.co/dinxYKkXmT']"
1,1606,1_today_commissioner_citypolice_city,"['today', 'commissioner', 'citypolice', 'city', 'officers', 'metpoliceuk', 'day', 'coronation', 'pc', 'colleagues']","['#PHPollard &amp; #PHGilbert drew in quite a crowd when on patrol today. Giving officers a great opportunity to offer crime prevention advice and raise #ProjectServator awareness. As well as answering lots of questions about the Mounted Police Role. @cityoflondon @CityPolice  651cp https://t.co/l5NmI6sJo3', ""#ProjectServator officers from the Met, @BTP &amp; @CityPolice  carried out a joint op around central London - even taking their patrol onto a @thamesclippers \nThese patrols take place across the capital, &amp; are one way we are helping to keep London safe.\nTogether we've got it covered https://t.co/KMoZTsYHWR"", ""I was delighted to visit @metpoliceuk's operation centre &amp; Great Scotland Yard ahead of the Coronation.\n\nI thanked officers &amp; new recruits who will be on duty this weekend, working tirelessly to keep the public safe. \n\nWilbur the horse is ready to lead the coronation procession! https://t.co/JxMAp8vmU6""]"
2,1477,2_click_local_emotional_available,"['click', 'local', 'emotional', 'available', 'simply', 'triaged', 'automated', 'handler', 'experienced', 'teams']","['Life can be tough, but support is available. 💚 \n\nThe team @samaritans are a registered charity aimed at providing emotional support to anyone in emotional distress, struggling to cope, or at risk of #suicide. More information can be found here: ⬇️ \n\nhttps://t.co/HOj7WYJmpg https://t.co/hBZBMyQVCj', 'Life can be tough, but support is available. 💚 \n\nThe team @samaritans are a registered charity aimed at providing emotional support to anyone in emotional distress, struggling to cope, or at risk of #suicide. More information can be found here: ⬇️ \n\nhttps://t.co/HOj7WYJmpg https://t.co/rDWGr9N9m3', 'Life can be tough, but support is available. 💚 \n\nThe team @samaritans are a registered charity aimed at providing emotional support to anyone in emotional distress, struggling to cope, or at risk of #suicide. More information can be found here: ⬇️ \n\nhttps://t.co/HOj7WYJmpg https://t.co/ShIj5ntb1f']"
3,1458,3_latest_footage_website_council,"['latest', 'footage', 'website', 'council', 'upload', 'convenience', 'noisy', 'date', 'emergencies', 'problem']","[""Your dash cam footage helps us tackle dangerous driving.\n\nIf you have footage of an incident, please upload it to ➡️https://t.co/oLaBTxAzSU\n\nHelp us make London's roads safer. https://t.co/AOciLe59R4"", ""Your dash cam footage helps us tackle dangerous driving.\n\nIf you have footage of an incident, please upload it to ➡️https://t.co/avQBD12t7m\n\nHelp us make London's roads safer. https://t.co/NaS0WxRgDH"", ""Your dash cam footage helps us tackle dangerous driving.\n\nIf you have footage of an incident, please upload it to ➡️https://t.co/giJkMWm23P\n\nHelp us make London's roads safer. https://t.co/BewNFEtnmG""]"
4,1229,4_control_command_met_need,"['control', 'command', 'met', 'need', 'metcc', 'vital', 'communications', 'point', 'play', 'saving']","['Met Command and Control (@MetCC) communications officers are the first point of contact should you need police support. They play a vital role in saving lives and responding to the people of London. In an emergency, always dial 999. https://t.co/WhTFH1z9Jh', 'Met Command and Control (@MetCC) communications officers are the first point of contact should you need police support. They play a vital role in saving lives and responding to the people of London. In an emergency, always dial 999. https://t.co/l4JhGSbVqM', 'Met Command and Control (@MetCC) communications officers are the first point of contact should you need police support. They play a vital role in saving lives and responding to the people of London. In an emergency, always dial 999. https://t.co/tDjqYaK0eF']"
5,1120,5_jailed_man_charged_murder,"['jailed', 'man', 'charged', 'murder', 'arrested', 'sentenced', 'old', 'guilty', 'investigation', 'years']","['#JAILED | Two men have been jailed for murder following the fatal stabbing of 16-year-old Alex Smith in 2019\n\nDetectives worked closely with colleagues @NCA_UK who helped to locate the men in Kenya before they were extradited to the UK\n\nRead more here: https://t.co/oJfvNWxYZm', ""#UPDATE | Officers investigating the murder of a man outside a nightclub in #Ilford have charged a second man with his murder. \n\nThe 29-year-old was arrested at Heathrow Airport yesterday. He is due to appear at Uxbridge Magistrates' Court. \n\nhttps://t.co/eicu6XIbe1"", 'A man responsible for a £20.5 million investment scam has been jailed.\n\nJoseph Lewis was sentenced to 5 years and 4 months in prison at Southwark Crown Court last week after pleading guilty to 19 counts of fraud by false representation. \n\nhttps://t.co/sH5Qp8yrix https://t.co/DMcdy2rgGi']"
6,833,6_101_appeal_quoting_witnesses,"['101', 'appeal', 'quoting', 'witnesses', 'ref', 'cad', 'appealing', 'quote', 'man', 'seen']","['A murder investigation is under way after a 21-yr-old man died following a stabbing in #Downham.\n\nThe incident happened in Bromley Rd at 23:50hrs on Fri 4 Nov.\n\nWere you in the area? Did you see anything?\n\nPls call 101 quote ref 8645/4Nov with info.\n\nhttps://t.co/EsDeLDkxk7', '#APPEAL | We are appealing for witnesses and dash cam footage after a pedestrian died following a collision in #Tottenham.\n\nA 36-year-old woman was arrested at the scene in Watermead Way on Sunday, 18 July.\n\n📞 101 or tweet @MetCC quoting CAD 507/18Jul.\n\nhttps://t.co/I65aYSggj6', '#APPEAL | We are appealing for witnesses after a 19-year-old man was seriously injured in a stabbing in #Woolwich on Sunday. \n\n☎️ Any witnesses are asked to call 101 quoting CAD 10/26Feb or contact @CrimestoppersUK anonymously.  \n\nhttps://t.co/OlwSIGwyYj']"
7,523,7_closed_closures_currently_disruption,"['closed', 'closures', 'currently', 'disruption', 'road', 'protesters', 'scene', 'place', 'bridge', 'area']","['Friday 16th - ROAD CLOSURES: All day, the following road closures – as marked in purple – will be in place. \n\nThere is restricted vehicle access, authorised vehicles only. \n\nThere are no planned pedestrian restrictions and cycles may be pushed. Westminster Bridge remains closed. https://t.co/71ZAKZZJJa', '🚫ROAD CLOSURE 🚫\n\nFleet Street, at the junction of Fetter Lane, is currently closed in both directions due to a road traffic accident. Please find alternative routes where possible. \n\nUpdates to follow. Thank you for your patience. https://t.co/vTqL1svudX', '⛔️ ROAD CLOSURE ⛔️\n\nByward Street westbound, at the junction of Great Tower Street, is currently closed due to a road traffic collision. \n\nPlease use alternative routes where possible. Thank you for your patience. \n\nUpdates to follow.']"
8,471,8_traffic_department_submitted_completed,"['traffic', 'department', 'submitted', 'completed', 'form', 'iqtg5fblvf', 'incident', 'link', 'follow', 'look']","['@sranger_cycling Please follow the link below to report a Road Traffic incident. Once the online form is completed and submitted our traffic department will look at the incident details. https://t.co/iqtG5FBLvF', '@sranger_cycling Please follow the link below to report a Road Traffic incident. Once the online form is completed and submitted our traffic department will look at the incident details. https://t.co/iqtG5FBLvF', '@sranger_cycling Good afternoon, please follow the link below to report a Road Traffic incident. Once the online form is completed and submitted our traffic department will look at the incident details. https://t.co/iqtG5FBLvF']"
9,459,9_valuables_surroundings_sight_watches,"['valuables', 'surroundings', 'sight', 'watches', 'mobiles', 'protect', 'things', 'attention', 'route', 'aware']","[""Key things you can do to help protect yourself from street robbery are:\n- Stay aware of your surroundings &amp; pay attention to who's around you\n- Keep valuables such as mobiles, watches &amp; cash out of sight \n- Plan your route home\n\nFor further advice visit: https://t.co/aevHZgjV64 https://t.co/2Z5W0K3PTI"", ""Key things you can do to help protect yourself from street robbery are:\n- Stay aware of your surroundings &amp; pay attention to who's around you\n- Keep valuables such as mobiles, watches &amp; cash out of sight \n- Plan your route home\n\nFor further advice visit: https://t.co/AO0WLhaaMn https://t.co/qJNsiEjr5Z"", ""Key things you can do to help protect yourself from street robbery are:\n- Stay aware of your surroundings &amp; pay attention to who's around you\n- Keep valuables such as mobiles, watches &amp; cash out of sight \n- Plan your route home\n\nFor further advice visit: https://t.co/j4sRI5KGZs https://t.co/qDdeqTLHbG""]"
