,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
10,22,remember_don_safety_use_enjoy,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",10,00_adverse_parks_marked_weather,21,remember_don_safety_use_enjoy,0.7357647647156766
9,21,remember_don_safety_use_enjoy,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",20,remember_don_safety_use_morning,9,prompt_rt_location_essential_092112,0.7226254908436323
8,20,remember_don_safety_use_morning,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]",2,agents_arrested_crime_health_individual,19,remember_don_safety_use_morning,0.7082425886981618
7,19,remember_don_safety_use_morning,"[0, 1, 3, 4, 5, 6, 7, 8, 11]",18,remember_don_safety_use_morning,8,30_00_restrictions_stadium_parking,0.6780185941852674
6,18,remember_don_safety_use_morning,"[0, 1, 3, 4, 5, 6, 7, 11]",17,don_remember_safety_use_know,5,madrid_del_died_la_plaza,0.6401229152367645
5,17,don_remember_safety_use_know,"[0, 1, 3, 4, 6, 7, 11]",7,aggression_protection_abuse_minors_specialized,16,remember_don_safety_morning_use,0.6375232144550811
4,16,remember_don_safety_morning_use,"[0, 1, 3, 4, 6, 11]",15,remember_don_safety_use_enjoy,11,disposal_shift_congratulations_add_begins,0.6375129587876207
3,15,remember_don_safety_use_enjoy,"[0, 1, 3, 4, 6]",14,safety_unit_madrid_continue_control,13,don_remember_safety_enjoy_respect,0.5777073461846529
2,14,safety_unit_madrid_continue_control,"[3, 6]",3,training_police_work_project_unit,6,campaign_vehicles_control_surveillance_transport,0.5687961863338524
1,13,don_remember_safety_enjoy_respect,"[0, 1, 4]",12,don_remember_safety_respect_going,4,day_need_enjoy_night_year,0.5529377948099855
0,12,don_remember_safety_respect_going,"[0, 1]",1,vehicle_safety_use_pedestrian_speed,0,don_going_let_know_remember,0.469433511131649
