user,senti_text_processed,sentimenal_res
Paris,| the continues its deployment with the recruitment of heads of municipal police departmentslast days to apply (until may ),"{'Negative': 0.021578632, 'Neutral': 0.9295986, 'Positive': 0.048822794}"
Paris,municipal police officers from the th arrondissement and bikers carried out a speed control operation in the th arr. near the bois de vincennes the operation aimed to enforce the speed limit at kmh,"{'Negative': 0.07593111, 'Neutral': 0.8638049, 'Positive': 0.060264032}"
Paris,"| free on sunday? how long at most? all the answers to your questions about parking in paris with christian bomian, senior brigadier at the municipal police.","{'Negative': 0.018460259, 'Neutral': 0.8744192, 'Positive': 0.10712048}"
Paris,"| launch of the st firecracker &amp; mortarsthis morning, training of municipal police officers, mediators and educators to educate young people about the risks and dangers of fireworks and mortars.","{'Negative': 0.18673247, 'Neutral': 0.7565249, 'Positive': 0.056742534}"
Paris,"dt16 agents in operation in the th arrondissement crit'air checks, sanction of vehicles traveling on bus lanes, verbalization of and bike infractions, road prevention","{'Negative': 0.13251482, 'Neutral': 0.8288137, 'Positive': 0.038671542}"
Paris,the continues its action to protect and support parisians and fight against incivility. the key figures for the month of march here,"{'Negative': 0.009591642, 'Neutral': 0.60081667, 'Positive': 0.3895917}"
Paris,| the is present all this week alongside the cleaning agents in the manin-jaurs district exceptional mobilization for cleanliness and the fight against incivility.,"{'Negative': 0.008624145, 'Neutral': 0.565255, 'Positive': 0.42612088}"
Paris,"the city of paris is recruiting municipal police department heads registrations are open today, until may , to apply","{'Negative': 0.0081180185, 'Neutral': 0.8909911, 'Positive': 0.100890905}"
Paris,"the city of is recruiting municipal police department heads registrations will open this monday, april .to go further","{'Negative': 0.005136892, 'Neutral': 0.8971775, 'Positive': 0.09768563}"
Paris,municipal police | with on the bastille sector: securing pedestrian crossings verbalization of parking in pmr spaces failure to stop at a red light penalty for traffic on sidewalks priority,"{'Negative': 0.39535832, 'Neutral': 0.56566197, 'Positive': 0.038979676}"
