user,senti_text_processed,sentimenal_res
Roma,times are published on our facebook page,"{'Negative': 0.010321515, 'Neutral': 0.91448873, 'Positive': 0.075189725}"
Roma,welcome new followers!locations and contacts: for urgencies/emergencies for information pec email offices: media policy: and reports: citizen digital home:,"{'Negative': 0.0017006684, 'Neutral': 0.18166743, 'Positive': 0.8166319}"
Roma,": via dell'amba aradam, height via di villa fonseca","{'Negative': 0.061959196, 'Neutral': 0.88049537, 'Positive': 0.057545494}"
Roma,": via cassia, and traffic slowed down via collegiove","{'Negative': 0.023711063, 'Neutral': 0.6589576, 'Positive': 0.31733128}"
Roma,": piazza pasquale paoli, at lungotevere degli altoviti","{'Negative': 0.039554603, 'Neutral': 0.8837242, 'Positive': 0.07672112}"
Roma,": via del fosso della magliana, at via della magliana","{'Negative': 0.049581014, 'Neutral': 0.89258856, 'Positive': 0.05783044}"
Roma,": via francesco grimaldi, height via giovanni aldini","{'Negative': 0.03129153, 'Neutral': 0.923135, 'Positive': 0.045573488}"
Roma,- via antonio pacinotti - at via alfredo nobel,"{'Negative': 0.04621537, 'Neutral': 0.88795525, 'Positive': 0.06582932}"
Roma,- via del circo massimo - possible slowdowns due to at piazzale ugo la malfa height,"{'Negative': 0.14328045, 'Neutral': 0.8261787, 'Positive': 0.030540852}"
Roma,- via roccagiovine - possible slowdowns due to,"{'Negative': 0.2534459, 'Neutral': 0.71482766, 'Positive': 0.031726513}"
Roma,- via cisternino - possible slowdowns due to,"{'Negative': 0.2565781, 'Neutral': 0.71674484, 'Positive': 0.026677033}"
Roma,- via della stazione enrico fermi - possible slowdowns due to at viale america,"{'Negative': 0.1450665, 'Neutral': 0.8244517, 'Positive': 0.030481908}"
Roma,rome - via cavour - possible slowdowns due to at via giovanni lanza,"{'Negative': 0.18996698, 'Neutral': 0.78086436, 'Positive': 0.029168725}"
Roma,- via nomentana - possible slowdowns due to at via val d'aosta towards the city centre,"{'Negative': 0.24978596, 'Neutral': 0.7212892, 'Positive': 0.028924773}"
Roma,- via laurentina - possible delays due to at the entrance ramp to the gra in the direction of trigoria,"{'Negative': 0.3873439, 'Neutral': 0.5858584, 'Positive': 0.026797635}"
Roma,"hello, we invite you to remove photos containing sensitive data such as license plates. for reports, contact the competent territorial group.","{'Negative': 0.2901362, 'Neutral': 0.66755253, 'Positive': 0.042311206}"
Roma,- largo telese - possible slowdowns due to at via telese height,"{'Negative': 0.2284275, 'Neutral': 0.7389016, 'Positive': 0.032670844}"
Roma,- via laurentina - possible slowdowns due to at the entrance ramp to the g.r.a. in the direction of trigoria,"{'Negative': 0.19588909, 'Neutral': 0.7681624, 'Positive': 0.035948426}"
Roma,- via della lega lombarda - possible delays due to at via giano della bella towards via tiburtina,"{'Negative': 0.41093487, 'Neutral': 0.5684071, 'Positive': 0.020658035}"
Roma,- via fregene - possible slowdowns due to at via ardea,"{'Negative': 0.2673798, 'Neutral': 0.7035914, 'Positive': 0.029028835}"
Roma,- via luigi sweater - possible slowdowns due to at via pietro gasparri,"{'Negative': 0.15806563, 'Neutral': 0.8113482, 'Positive': 0.030586107}"
Roma,- via cristoforo colombo - possible slowdowns due to at viale america in the direction of gra,"{'Negative': 0.17987016, 'Neutral': 0.7934414, 'Positive': 0.026688382}"
Roma,- via rocca di cave - possible slowdowns due to,"{'Negative': 0.21299683, 'Neutral': 0.7568802, 'Positive': 0.030122941}"
Roma,- via prenestina - possible slowdowns due to at via di portonaccio,"{'Negative': 0.23314038, 'Neutral': 0.7362125, 'Positive': 0.030647183}"
Roma,- largo telese - possible slowdowns due to at via telese,"{'Negative': 0.32713926, 'Neutral': 0.64514714, 'Positive': 0.027713645}"
Roma,- via della cecchignola - traffic slowed down due to in the section between via di tor pagnotta and via giovanni kobler towards the city center,"{'Negative': 0.3292048, 'Neutral': 0.6294496, 'Positive': 0.041345604}"
Roma,- via della casetta mattei - possible slowdowns due to at vicolo della casetta mattei,"{'Negative': 0.20801431, 'Neutral': 0.76182735, 'Positive': 0.030158373}"
Roma,- via magnagrecia - possible slowdowns due to at via amiterno,"{'Negative': 0.2279991, 'Neutral': 0.73950636, 'Positive': 0.032494582}"
Roma,- vai dei giordani - possible slowdowns due to at via di trasone,"{'Negative': 0.24437359, 'Neutral': 0.727672, 'Positive': 0.027954482}"
Roma,"what happens , exhibitions, transit conditions:","{'Negative': 0.112104304, 'Neutral': 0.8311846, 'Positive': 0.056711063}"
Roma,good morning from ! for urgencies/emergencies for more information our social media policy: offices and contacts:,"{'Negative': 0.0033448688, 'Neutral': 0.4312185, 'Positive': 0.56543666}"
Roma,in the areas: irregular consumption and sale of alcohol are targeted. police,"{'Negative': 0.60326135, 'Neutral': 0.38492444, 'Positive': 0.011814161}"
