user,senti_text_processed,sentimenal_res
Warsaw,"during dynamic operations in radzymin, criminals from the skorpion krp vi group detained a -year-old ukrainian citizen who was driving a stolen car. the man will be responsible for stealing a vehicle, for which he may face a penalty of up to years in prison.","{'Negative': 0.8058454, 'Neutral': 0.18795776, 'Positive': 0.0061968295}"
Warsaw,"police officers of the capital's economic crime department detained a -year-old woman who was selling electronic equipment similar to branded products. the market value of the secured goods, calculated by the injured companies, amounted to almost pln .","{'Negative': 0.42691186, 'Neutral': 0.55031985, 'Positive': 0.022768231}"
Warsaw,"officers from the bielany police station together with police officers from the river police station took part in a picnic organized in the ""secret garden"" kindergarten. lectures on basic water safety rules were conducted for all children.","{'Negative': 0.021594595, 'Neutral': 0.8070486, 'Positive': 0.17135674}"
Warsaw,"wrd police officers detained a toyota driver who did not comply with the single continuous line. it also turned out that the driver was carrying one too many people and they were traveling in the trunk! nothing can surprise us anymore, and yet ...","{'Negative': 0.8163931, 'Neutral': 0.16506158, 'Positive': 0.018545356}"
Warsaw,"a -year-old woman and her -year-old partner, who were detained by criminals from the warsaw biaoka police station, may face up to years in prison. during these activities, the officers seized a significant amount of narcotic substances in the form of cannabis herb and mephedrone.","{'Negative': 0.8183428, 'Neutral': 0.17553213, 'Positive': 0.0061250343}"
Warsaw,five moldovan citizens were charged with placing medicinal products on the market without the required authorization. the men are aged between and . gut policemen secured over ampoules worth almost pln .,"{'Negative': 0.60783064, 'Neutral': 0.3754401, 'Positive': 0.016729305}"
Warsaw,"we also have attractions for single-track fans. we present heavy motorcycles of bmw r1250 rt traffic policemen in new police markings. these vehicles, powered by a hp engine, greatly support the service of policemen who care about the safety of the rd.","{'Negative': 0.0059005176, 'Neutral': 0.16865638, 'Positive': 0.82544315}"
Warsaw,"the new marking of the police fleet, presented last year, is very positively received. each new vehicle enters polish roads with such markings. we present suzuki swace vehicles that are at the disposal of police officers on a daily basis","{'Negative': 0.004411778, 'Neutral': 0.14611569, 'Positive': 0.8494726}"
Warsaw,no plans for today yet? we invite you to our stand you will find us at the th edition of the open days of european fundswe are waiting until in the royal castle gardens in warsaw.see you,"{'Negative': 0.006194943, 'Neutral': 0.435812, 'Positive': 0.55799305}"
Warsaw,"in connection with the mass sporting event, police officers will direct traffic and ensure safety in the vicinity of the pge national stadium. we urge you to follow the instructions given. if you see a threat, inform us about it. every piece of information is important. and protect","{'Negative': 0.09523541, 'Neutral': 0.7139646, 'Positive': 0.19079998}"
Warsaw,"on may -14, , as part of preventive and control activities, police officers of the traffic department conduct activities under the name ""trzewy dierowca "".","{'Negative': 0.044313904, 'Neutral': 0.9198589, 'Positive': 0.035827223}"
Warsaw,the th european funds open days have begun. we are waiting for you until at the police stand in the royal castle gardens in warsaw. visiting the city of european funds is a great opportunity to spend a weekend afternoon,"{'Negative': 0.0022196409, 'Neutral': 0.04740359, 'Positive': 0.95037675}"
Warsaw,"today at pge narodowy a great speedway celebration. at -19.00 the area of saska kpa will be excluded from individual traffic. we encourage you to reach the stadium . before leaving, be sure to check the information about changes in traffic","{'Negative': 0.016327614, 'Neutral': 0.23449028, 'Positive': 0.74918205}"
Warsaw,"i pge narodowy will turn into a place of speedway competition on saturday. the fastest way to get to the stadium is wtp. after the event, a smooth return home will be provided by the , and , which will run with increased frequency.","{'Negative': 0.00915952, 'Neutral': 0.58185375, 'Positive': 0.40898675}"
Warsaw,today and tomorrow we invite you to the city of european funds organized in the royal castle gardens and kubicki arcades. we will present projects in the field of road safety implemented by the general police headquarters and the warsaw police headquarters.,"{'Negative': 0.003929702, 'Neutral': 0.49602735, 'Positive': 0.500043}"
Warsaw,"on on may -14, the th edition of the european funds open days will take place. the main event will be the city of european funds, which will be organized in warsaw on may -14 in the royal castle gardens and kubicki arcades.","{'Negative': 0.008590847, 'Neutral': 0.8917423, 'Positive': 0.09966692}"
Warsaw,"new officers spoke the words of the rota today. the solemn collection on the occasion of the oath took place in the white hall of the mostowski palace. soon the police officers will start the basic course. after that, they will serve in the capital garrison.","{'Negative': 0.02196041, 'Neutral': 0.8773699, 'Positive': 0.10066974}"
Warsaw,"the evolution of harassment, aggression, hate and other threats on the internet were the subject of a meeting organized for students of the primary school. fr. jan twardowski in chylice by policemen from piaseczno.","{'Negative': 0.6796819, 'Neutral': 0.30953398, 'Positive': 0.010784143}"
Warsaw,"police officers from wwp received an urgent report regarding a person whose life was in danger. they immediately appeared on the spot, providing the necessary assistance. the quick and decisive intervention of the police allowed to avoid a tragedy.","{'Negative': 0.20463312, 'Neutral': 0.5911551, 'Positive': 0.20421183}"
Warsaw,"according to the police officers from otwock, one of the inhabitants of celestynw, known to them, forced the staff of the premises to give him free kebabs with threats and violence. the man was detained by the police. he's already been charged.","{'Negative': 0.75751853, 'Neutral': 0.23533319, 'Positive': 0.0071482984}"
Warsaw,"criminal investigators from the police station in biaoka detained two men who had drugs. in addition, it turned out that the younger of them, , had stolen branded perfumes in one of the drugstores. in addition, he was wanted to serve a prison sentence.","{'Negative': 0.6949866, 'Neutral': 0.29225302, 'Positive': 0.012760436}"
Warsaw,"a -year-old resident of konstancin-jeziorna bought via the internet, from a private person, tickets for a music concert that was to take place in warsaw's torwar. when she arrived at the venue, she was not allowed to attend the event because, as it turned out, the tickets were fake!","{'Negative': 0.79996073, 'Neutral': 0.18656652, 'Positive': 0.013472721}"
Warsaw,"police officers from otwock intervened on the bicycle path in jzefw, where two people traveling on two-wheelers met. the -year-old, while overtaking a -year-old driving in the same direction, probably caught her steering wheel. the man was incapacitated after drinking alcohol.","{'Negative': 0.7518373, 'Neutral': 0.23642375, 'Positive': 0.011738912}"
Warsaw,"the nationwide ""speed"" activities are carried out on may , . traffic policemen today check drivers for speed. it is speed that is the most frequently cited cause of road accidents.","{'Negative': 0.563465, 'Neutral': 0.40255097, 'Positive': 0.03398401}"
Warsaw,"according to the latest public opinion survey conducted by cbos, as many as percent of respondents consider their neighborhood to be safe, and percent consider poland to be a safe country to live in. we are here for your safety.://","{'Negative': 0.0056477366, 'Neutral': 0.22816335, 'Positive': 0.7661889}"
Warsaw,"legionowo criminal detained three men suspected of theft and property damage. in front of the police, they damaged a tire on a parked vehicle. the same men several dozen minutes earlier had stolen a wallet and documents from an open car.","{'Negative': 0.82797444, 'Neutral': 0.16551894, 'Positive': 0.006506641}"
Warsaw,"police officers from wola arrested a man suspected of numerous thefts. operations recognized him on surveillance. the suspect pleaded guilty to nine counts of theft, which is punishable by up to five years in prison.","{'Negative': 0.621137, 'Neutral': 0.35923225, 'Positive': 0.019630704}"
Warsaw,"police officers from the poviat police headquarters in woomin talked with preschoolers about safety in road traffic. during the mazowiecki safety week, officers visited children from kindergarten no. . misia uszatka in woomin.","{'Negative': 0.031277914, 'Neutral': 0.81944114, 'Positive': 0.1492809}"
Warsaw,"otwock criminals tracked down and detained a -year-old and a -year-old who robbed a drinking companion, taking her mobile phone and atm card. then they paid for their purchases by card, depleting the victim's account by over pln . zlotys.","{'Negative': 0.8074735, 'Neutral': 0.18375297, 'Positive': 0.008773589}"
Warsaw,"on april , the act on cash benefits* came into force for family members of officers whose death occurred in connection with service or undertaking activities outside the service to save human life or health or property.","{'Negative': 0.23102327, 'Neutral': 0.7239496, 'Positive': 0.04502709}"
Warsaw,"once again, a meeting of preschoolers with officers from the district police headquarters in stare babice and district officers of the leszno commune was organised. the policemen invited the children to the unit so that they could take a closer look at the work of the uniformed officers.","{'Negative': 0.016998315, 'Neutral': 0.735016, 'Positive': 0.2479857}"
Warsaw,"otwock police arrested a -year-old suspected of fraud. the man communicated with his victims via communicator, pretending to be a family member in need. when the victims made a transfer, the scammer immediately withdrew them and disappeared.","{'Negative': 0.79811025, 'Neutral': 0.1931441, 'Positive': 0.008745678}"
Warsaw,the police intervention ended for the -year-old with an order to leave the house immediately and a ban on approaching the apartment and its immediate surroundings. the officers issued such a warrant after the man was aggressive towards his partner.,"{'Negative': 0.42236075, 'Neutral': 0.55807644, 'Positive': 0.019562842}"
Warsaw,criminal investigators from the department for combating crime against life and health krp iii detained a -year-old man. he was hiding drugs in his apartment. the man was charged under the act on counteracting drug addiction.,"{'Negative': 0.5428999, 'Neutral': 0.44056252, 'Positive': 0.016537571}"
Warsaw,"easter is a joyful time for most of us. for police officers on duty, it's a time of intense work. there are more traffic patrols on the streets. we operate taking care of safety. we remind drivers that rushing on the road is a bad decision.","{'Negative': 0.04627837, 'Neutral': 0.2794114, 'Positive': 0.6743102}"
Warsaw,"today is the peak of holiday trips. there will be heavy traffic in the afternoon. due to the increased traffic of vehicles and pedestrians, there will be more traffic patrols on the streets. remember to prepare the car for the road, the safety of passengers and yourself.","{'Negative': 0.13826562, 'Neutral': 0.6195833, 'Positive': 0.24215107}"
Warsaw,"it started with a traffic collision and ended with charges and a temporary arrest. the -year-old detained by the wrd policemen from otwock will be charged with breaking the court driving ban, driving under the influence of alcohol, possession of drugs and attempting to bribe the policemen.","{'Negative': 0.753694, 'Neutral': 0.23540789, 'Positive': 0.010898092}"
Warsaw,"the -year-old will be charged with possession of a significant amount of drugs. in the car he was driving, the police found marijuana and other prohibited substances in the glove compartment under the gearbox. the suspect was detained by police officers from the patrol and intervention department of krp iv.","{'Negative': 0.7146168, 'Neutral': 0.27464324, 'Positive': 0.010740054}"
Warsaw,police officers from the police station in pomiechwek detained a -year-old man who stabbed his friend during an argument. the man was charged with endangering health and life and causing moderate damage to health. he was arrested by court order.,"{'Negative': 0.8940101, 'Neutral': 0.101728104, 'Positive': 0.004261812}"
Warsaw,we invite you to see our activities as part of securing the visit of the president of ukraine. safety comes first,"{'Negative': 0.007877794, 'Neutral': 0.35999504, 'Positive': 0.63212717}"
Warsaw,"there is an outflow of people taking part in the events at the royal castle. the police are securing the roads. it's very safe. in the near future, difficulties in vehicular traffic in the center of warsaw should be expected","{'Negative': 0.05747893, 'Neutral': 0.39172992, 'Positive': 0.5507912}"
