user,senti_text_processed,sentimenal_res
Bern,"is correct, the should check this out with this person.","{'Negative': 0.039363977, 'Neutral': 0.7206391, 'Positive': 0.23999692}"
Bern,???,"{'Negative': 0.23775946, 'Neutral': 0.69080967, 'Positive': 0.07143086}"
Bern,lueget me the title bi dere fuurwerks initiative o cha lase before me lut that laht la sign.,"{'Negative': 0.13769329, 'Neutral': 0.7979193, 'Positive': 0.0643874}"
Bern,"so that becomes safer, more trees are needed so that the sneaky and brain-amputated filthy cops from can be tied to them. but please only with a spiked collar.","{'Negative': 0.56031287, 'Neutral': 0.38497537, 'Positive': 0.05471175}"
Bern,"to be able to move around safely in you need the right clothes. because there, members of rush their dogs after you, so my suggestion:","{'Negative': 0.040118407, 'Neutral': 0.7245917, 'Positive': 0.2352899}"
Bern,no!,"{'Negative': 0.3883262, 'Neutral': 0.44055524, 'Positive': 0.17111854}"
Bern,i was not aware of (especially in the context of the initiative that calls for a ban).,"{'Negative': 0.36942905, 'Neutral': 0.58934706, 'Positive': 0.041223932}"
Bern,you don't have a pet?,"{'Negative': 0.40567195, 'Neutral': 0.562824, 'Positive': 0.03150399}"
Bern,it's actually always forbidden. exception august st and december st.,"{'Negative': 0.68553406, 'Neutral': 0.29371384, 'Positive': 0.020752076}"
Bern,since when has it been forbidden to set off fireworks in the mattenhof?,"{'Negative': 0.4250031, 'Neutral': 0.55397743, 'Positive': 0.02101945}"
Bern,could please stop the fireworks in the mattenhof? thanks!ps: sign the fireworks initiative now.,"{'Negative': 0.17118138, 'Neutral': 0.5834451, 'Positive': 0.24537352}"
Bern,and here is your non-violent mimimoldi jesus you . an unauthorized deodorant is just dissolved.,"{'Negative': 0.47273412, 'Neutral': 0.49159035, 'Positive': 0.03567555}"
Bern,first you,"{'Negative': 0.16652058, 'Neutral': 0.57364726, 'Positive': 0.2598321}"
Bern,"i fully agree &amp; completely closed. there are too many drivers driving too close &amp; behave very selfishly/dangerously. well done. i hope you continue with these checks. it has to hurt, otherwise it's useless.","{'Negative': 0.75119364, 'Neutral': 0.20675069, 'Positive': 0.04205568}"
Bern,i think everything is right and necessary. i drive with a distance meter and every minute one drives in front of my nose.,"{'Negative': 0.07247579, 'Neutral': 0.4667279, 'Positive': 0.4607963}"
Bern,"if the distance to the vehicle in front is big enough and someone drives in, you rarely have to brake; a short ""step on the gas"" is enough. you only have to hit the brakes if the distance is massively too small, as is the case with the lady.","{'Negative': 0.17495003, 'Neutral': 0.6244897, 'Positive': 0.20056029}"
Bern,"oh that's how they do it. then, as expected, you have to be careful in bridge areas. i actually always drive with enough distance, but better safe than sorry.","{'Negative': 0.23636238, 'Neutral': 0.60091984, 'Positive': 0.16271779}"
Bern,"i've already seen them with cameras on bridges. i guess because that's the only way to record the distance over a certain period of time. because even if the vehicle in front brakes sharply, the distance decreases. it's not bad, because that's what the distance is for.","{'Negative': 0.044388983, 'Neutral': 0.449279, 'Positive': 0.50633204}"
Bern,i'm totally on your side. throw the russians out.,"{'Negative': 0.28404152, 'Neutral': 0.4652884, 'Positive': 0.25067005}"
Bern,"happens to me again and again, these nonsensical squeezers. you just have to always immediately off the gas. i believe the measurements, mainly from brucken.","{'Negative': 0.42658964, 'Neutral': 0.48693898, 'Positive': 0.08647138}"
Bern,"""home""?to russia?that would only do them a favor.best to get out in the areas once occupied by the russian army.let's see how the locals treat them.","{'Negative': 0.35132882, 'Neutral': 0.53156066, 'Positive': 0.117110536}"
Bern,"well, the is now being guarded by a private security service because the can no longer cope with the effort. i am of the opinion that now that the russians are threatening our journis as well, the russians should go home to their fuhrer.","{'Negative': 0.8943313, 'Neutral': 0.10099466, 'Positive': 0.0046741394}"
Bern,"unfortunately there are actually many road users who do not keep their distance. but didn't that have to be for a certain period of time? if i'm two seconds apart and someone squeezes in, it's not my fault for a brief moment...","{'Negative': 0.66800565, 'Neutral': 0.3016566, 'Positive': 0.030337762}"
Bern,"what's the problem if someone keeps the gun? if someone has had the weapon for years without being guilty of anything, then he can keep it for a longer period of time.","{'Negative': 0.4578217, 'Neutral': 0.5201455, 'Positive': 0.022032807}"
Bern,"yes, and just as many who pull into the lane way too close in front of me and i'm constantly busy restoring the distance. then the question is always how hard i stand on the brakes on the freeway. again and again.","{'Negative': 0.47976413, 'Neutral': 0.44536424, 'Positive': 0.07487169}"
Bern,"she probably doesn't want to hear that, but you really see an extremely large number of cars on the autobahn, which are practically stuck together. what amazes me is that they actually check it at all. checking the a1 once a day gives millions in revenue","{'Negative': 0.56082934, 'Neutral': 0.36325765, 'Positive': 0.07591307}"
Bern,probably not what you want to read (sorry): thank you that such offenses are sometimes punished!far too many people keep far too little distance and thus endanger other road users as well as themselves.,"{'Negative': 0.9058692, 'Neutral': 0.085855566, 'Positive': 0.008275254}"
Bern,is already a lot. i keep my fingers crossed that everything about the research was wrongi would definitely ask for the photos and then contact the legal protection insurance.,"{'Negative': 0.32767507, 'Neutral': 0.58171177, 'Positive': 0.09061317}"
Bern,"ui madele, that could get expensive.","{'Negative': 0.73838603, 'Neutral': 0.24888104, 'Positive': 0.012732877}"
