user,senti_text_processed,sentimenal_res
Lisbon,"unless the man in question is referencing his work as an agent of the metropolitan command of lisbon as a way of promoting his onlyfans profile, what right does the psp have to investigate his particular secondary activity? is this not abuse of power?","{'Negative': 0.4964242, 'Neutral': 0.48407483, 'Positive': 0.019500876}"
Lisbon,the psp says that this operation is aimed at complying with house search warrants and several arrest warrants and that it is being carried out by the metropolitan command of lisbon,"{'Negative': 0.021967402, 'Neutral': 0.90403855, 'Positive': 0.07399411}"
Lisbon,"according to the metropolitan command of lisbon, the agents were patrolling the padre cruz neighborhood and approached a man. at that moment, they began to be stoned and there was an attempt to attack the police.","{'Negative': 0.4901981, 'Neutral': 0.4897313, 'Positive': 0.020070614}"
Lisbon,"on tuesday, the lisbon metropolitan command (cometlis) of the psp arrested an -year-old man, the ""oldest pickpocket in the country"", on suspicion of aggravated theft on public transport, the police announced today.","{'Negative': 0.5061183, 'Neutral': 0.47075137, 'Positive': 0.023130385}"
Lisbon,"most of these agents are part of the psp's lisbon metropolitan command, with a small part coming from other areas of the country. ""i had to take an unpopular measure among the police, which was to suspend the holidays between july th and july th ...","{'Negative': 0.32674837, 'Neutral': 0.63424546, 'Positive': 0.039006118}"
Lisbon,"most of these agents are part of the psp's lisbon metropolitan command, with a small part coming from other areas of the country. ""i had to take an unpopular measure among the police, which was to suspend the holidays between july th and july th ...","{'Negative': 0.32674837, 'Neutral': 0.63424546, 'Positive': 0.039006118}"
Lisbon,". this is absolutely unacceptable, these agents must be punished!","{'Negative': 0.958371, 'Neutral': 0.03643365, 'Positive': 0.005195334}"
Lisbon,get well soon to dadresult of the nd and rd rows and cars immediately before the crossing and also not adapting the speed to the road conditions. total impunity in alvalade under the eyes of,"{'Negative': 0.52537423, 'Neutral': 0.43249467, 'Positive': 0.042131107}"
Lisbon,podofilo.,"{'Negative': 0.19962932, 'Neutral': 0.6491778, 'Positive': 0.15119289}"
Lisbon,it's good to take a look here,"{'Negative': 0.004091756, 'Neutral': 0.09442675, 'Positive': 0.9014815}"
Lisbon,rt : i hope you have addressed this issue with the agents of : i hope you have addressed this issue with the agents:,"{'Negative': 0.07023377, 'Neutral': 0.70601517, 'Positive': 0.22375108}"
Lisbon,i hope you have addressed this issue with the agents:,"{'Negative': 0.10544365, 'Neutral': 0.78871566, 'Positive': 0.105840676}"
Lisbon,arrested six men and one woman for the crime of drug trafficking.were seized:* individual doses of hashish;* single doses of cocaine;* firearm caliber mm,"{'Negative': 0.477487, 'Neutral': 0.5067015, 'Positive': 0.015811441}"
Lisbon,"incomprehensible even. even the silence of the management of which should demonstrate public indignation at this fascist, abusive and regrettable performance by and the supporters and they like to be with their own.","{'Negative': 0.9135514, 'Neutral': 0.08085928, 'Positive': 0.0055892705}"
Lisbon,"congratulations to psp, improving and improving means of communication, fighting crime in portugal!","{'Negative': 0.00325961, 'Neutral': 0.05172938, 'Positive': 0.9450111}"
Lisbon,the difference between the april military and the current corrupt puppets we can see each other every day in the supermarket,"{'Negative': 0.8087191, 'Neutral': 0.18308358, 'Positive': 0.008197235}"
Lisbon,in pide mode.,"{'Negative': 0.17379951, 'Neutral': 0.6705092, 'Positive': 0.15569128}"
Lisbon,"these gentlemen do what the heads of tell them, i believe that against their will but they are the ones who show their face and not the one who coordinates them because they are in their chairs drinking their coffee and eating cookies !!!","{'Negative': 0.7105195, 'Neutral': 0.26693857, 'Positive': 0.022541836}"
Lisbon,"policeif you dial followed by the numbers (the equivalent of writing the word ""police"" on the cell phone keyboard), the call will be answered by a police officer from .(only for the district).","{'Negative': 0.06702212, 'Neutral': 0.8322264, 'Positive': 0.100751504}"
