user,senti_text_processed,sentimenal_res
Pargue,"if you want something, you should try this, it's a bit strange how you manage to wallpaper it","{'Negative': 0.34070048, 'Neutral': 0.5101302, 'Positive': 0.14916936}"
Pargue,"great, but the fact that they will inactively build on the corner (in one place) will probably not be as beneficial to the cause as it might seem at first glance... andel is a somewhat bigger location (than it crisis station near the subway) and problems extend to the smichov railway station.","{'Negative': 0.41058874, 'Neutral': 0.46105495, 'Positive': 0.12835637}"
Pargue,"i drive a car in prague and i don't feel comfortable. and has been almost invisible for the past month. therefore, the opportunities to improve the budget are endless in prague thanks to undisciplined driving.","{'Negative': 0.45170718, 'Neutral': 0.40466106, 'Positive': 0.14363179}"
Pargue,"angel is already a mess, or is he really always waiting for murder, or at least an attempt?....","{'Negative': 0.896446, 'Neutral': 0.09921876, 'Positive': 0.004335314}"
Pargue,what about the chicks who block imrvere praha? why are you inviting the terrorists to the negotiating table?,"{'Negative': 0.7933394, 'Neutral': 0.2024069, 'Positive': 0.004253725}"
Pargue,"aha. well, even if they didn't go anymore, not much would change. still the most massive blocker is the driver of a private car..","{'Negative': 0.5202191, 'Neutral': 0.43343627, 'Positive': 0.04634465}"
Pargue,", in my opinion, the only solution is in the form of guerilla warfare - occupying parts of the roads with chairs, etc. they can get around that. we'll see if even in such a case and will be so lax with their reaction.","{'Negative': 0.19427168, 'Neutral': 0.72675127, 'Positive': 0.078977}"
Pargue,mainly because you allow demonstrations climate terrorist.you are a joke,"{'Negative': 0.9502309, 'Neutral': 0.04505107, 'Positive': 0.004718039}"
Pargue,i don't mean the party neo-bolsheviks who limit the slow poor on the road every week and want to impose their lifestyle on everyone.,"{'Negative': 0.7932065, 'Neutral': 0.19662282, 'Positive': 0.010170569}"
Pargue,"... if you, so shit, it's out loud by email with the title of the column opposite to","{'Negative': 0.82850415, 'Neutral': 0.15820487, 'Positive': 0.013290908}"
Pargue,so that's pretty new to me.,"{'Negative': 0.029266277, 'Neutral': 0.45544666, 'Positive': 0.5152871}"
Pargue,no they are not.... just parasites,"{'Negative': 0.83197725, 'Neutral': 0.15399711, 'Positive': 0.014025611}"
Pargue,"do you mean people sitting in a passenger car, which is occupied by people on average?","{'Negative': 0.24879701, 'Neutral': 0.71270984, 'Positive': 0.03849316}"
Pargue,how are there no working people in that march?,"{'Negative': 0.686412, 'Neutral': 0.29956916, 'Positive': 0.014018901}"
Pargue,it would be good if there was a zajickova from ods non-ruling center that looked after addicts in the area and provided them with treatment.,"{'Negative': 0.066816114, 'Neutral': 0.5423323, 'Positive': 0.3908516}"
Pargue,"it's just moving the problem a little further, somewhere else. drugs should be illegal, wetties in crime and without substitutes, and there would be peace.","{'Negative': 0.5652789, 'Neutral': 0.37437654, 'Positive': 0.06034453}"
Pargue,"at the same time, it would be great if there was a facility that would help people who need help. there are a lot of unhappy people. certainly, with the right help, a third of them can be brought back to normal life, the rest will stay where they are. it's worth a third of it.","{'Negative': 0.13764359, 'Neutral': 0.40534413, 'Positive': 0.45701236}"
