user,senti_text_processed,sentimenal_res
Roma,can you take the east ring road in cc?,"{'Negative': 0.052261073, 'Neutral': 0.90447026, 'Positive': 0.043268662}"
Roma,"since the one-way street on via del has been restored, alternating one-way signs that create confusion should also be removed. and while we're at it, you could remove that abusive sign under the cycle path","{'Negative': 0.5345586, 'Neutral': 0.41271526, 'Positive': 0.05272619}"
Roma,cars are few,"{'Negative': 0.18998185, 'Neutral': 0.6940894, 'Positive': 0.11592869}"
Roma,"between these and the dehors everywhere i don't know who is worse. the owners of the city, the public land is theirs now","{'Negative': 0.8006328, 'Neutral': 0.18210137, 'Positive': 0.017265875}"
Roma,iahahahha,"{'Negative': 0.10763109, 'Neutral': 0.64422905, 'Positive': 0.24813989}"
Roma,but?,"{'Negative': 0.25467023, 'Neutral': 0.6244156, 'Positive': 0.120914236}"
Roma,wake up,"{'Negative': 0.22894266, 'Neutral': 0.5877825, 'Positive': 0.18327485}"
Roma,"necessary deaths, effects of the that we will have in years.","{'Negative': 0.6776555, 'Neutral': 0.30873907, 'Positive': 0.013605434}"
Roma,"makes you think how current, in this city, obsolete customs are elsewhere, from billboards pulled up overnight to tickets from coachbuilders stuck in the windows. but then .. who reads you?","{'Negative': 0.53733706, 'Neutral': 0.41490972, 'Positive': 0.047753215}"
Roma,wish it were just plrc: atac and ama are on the same level. three of the fundamental services of a metropolis.,"{'Negative': 0.09473108, 'Neutral': 0.62461925, 'Positive': 0.28064963}"
Roma,exact,"{'Negative': 0.22193688, 'Neutral': 0.6262704, 'Positive': 0.15179269}"
Roma,battista disgusting and much larger; the subjects he cites gave voice to interest groups much larger than them; a hostage city of love employees can never be anything more than a dumping ground.,"{'Negative': 0.9045733, 'Neutral': 0.08932271, 'Positive': 0.0061039194}"
Roma,they put some a few days ago at the furio camillo stop where all the trees were removed and still not replanted,"{'Negative': 0.41372815, 'Neutral': 0.5555056, 'Positive': 0.030766282}"
Roma,if there are however to find those cops please take the required action against them. those who check tickets in rome termini,"{'Negative': 0.4935448, 'Neutral': 0.4930667, 'Positive': 0.013388463}"
Roma,we would have avoided coming here at any cost.,"{'Negative': 0.69162446, 'Neutral': 0.2966088, 'Positive': 0.011766778}"
Roma,"especially the body of v wow, who knows why","{'Negative': 0.18205902, 'Neutral': 0.75915754, 'Positive': 0.058783498}"
Roma,how disgusting! what a shame! what a mess! and think about ?? but if you are not even able to enforce the rules!!,"{'Negative': 0.972823, 'Neutral': 0.02456497, 'Positive': 0.0026119915}"
Roma,"the total inconsistency of is rome's biggest problem, because it makes any aspect of civil coexistence a jungle.evidently doesn't want to end up like and tries to live, but in this way he ends up burying rome.","{'Negative': 0.8577679, 'Neutral': 0.13131039, 'Positive': 0.010921755}"
Roma,"on via november for months/years, every day, hybrid yaris and one white micra, parked on the preferential at two street numbers of the european commission headquarters. not even the presiding military are wondering if those cars could be a danger! now, the micra, has moved it to a curve!","{'Negative': 0.2724841, 'Neutral': 0.57673186, 'Positive': 0.15078405}"
Roma,and in fact he had everyone against (information included ).,"{'Negative': 0.52720565, 'Neutral': 0.451385, 'Positive': 0.021409374}"
Roma,"this is unfortunately true, to the majority of romans are fine with this chaos, in the absence of rules everyone gains","{'Negative': 0.48855826, 'Neutral': 0.43483967, 'Positive': 0.076602146}"
Roma,yesterday morning the same story again,"{'Negative': 0.33995944, 'Neutral': 0.6292048, 'Positive': 0.030835785}"
Roma,"marine and state hunted by fury of people demonstrating that the majority of citizens want exactly this city. they show it with their behaviors, they don't count the chatter.","{'Negative': 0.47761005, 'Neutral': 0.46238318, 'Positive': 0.06000682}"
Roma,"there is no doubt that we are all slaves to the car. for many, getting free is very difficult, but not impossible and intermodality with city bikes to be loaded in the car is a way to facilitate the most fragile (and there are). in any case, there must be foot-cycle paths","{'Negative': 0.17295991, 'Neutral': 0.5590485, 'Positive': 0.26799166}"
Roma,how much money wasted!,"{'Negative': 0.87122065, 'Neutral': 0.113599524, 'Positive': 0.015179852}"
Roma,is it true?,"{'Negative': 0.08499443, 'Neutral': 0.8657261, 'Positive': 0.049279463}"
Roma,"what an embarrassment with tourists... the sloppiness in this city is embarrassing but almost nobody does anything, just make proclamations !!","{'Negative': 0.95485276, 'Neutral': 0.038754474, 'Positive': 0.0063927174}"
Roma,"on the other hand if in almost years of office neither the mayor nor the councilor for commerce have ever said a word (one!?!) on the reform of billboards and the fight against illegal , the signal for advertising companies and: do as you please!","{'Negative': 0.44280577, 'Neutral': 0.49512723, 'Positive': 0.06206703}"
Roma,also for villa there is this problem. either gigantic underground paid parking lots are created or large distant parking lots are organized with shuttle trains or connecting cycle paths. by now we should all have folding e-bikes to keep in the car,"{'Negative': 0.5355466, 'Neutral': 0.40265417, 'Positive': 0.061799254}"
Roma,"and in fact marine lasted months. we need a ""technical government"" without fear of short-term political repercussions","{'Negative': 0.27171144, 'Neutral': 0.6397439, 'Positive': 0.088544644}"
Roma,"that of public transport and another nefarious chapter, largely linked to private disinterest.","{'Negative': 0.5713908, 'Neutral': 0.4158833, 'Positive': 0.012725852}"
Roma,"i confirm that until some time ago two policemen enforced the ban on transit on public holidays. now nothing. the roman does not respect anything, if there is no authority to forbid it. let's go bad.","{'Negative': 0.92078346, 'Neutral': 0.07418385, 'Positive': 0.0050326358}"
Roma,"this is new, and very serious if an abusive operation","{'Negative': 0.7633607, 'Neutral': 0.22280474, 'Positive': 0.013834558}"
Roma,what an absurd city. but where is the dignity of the institutions?,"{'Negative': 0.9100202, 'Neutral': 0.08193927, 'Positive': 0.008040502}"
Roma,"via appia, height of piazza re di roma, towards the centre, and has the operation begun to replace parking bans with illegal billboards? . .","{'Negative': 0.17776243, 'Neutral': 0.79613435, 'Positive': 0.026103193}"
Roma,absolutely agree!!,"{'Negative': 0.0180658, 'Neutral': 0.10556031, 'Positive': 0.8763739}"
Roma,"how many citizens know that on the ancient appian way they could go there by bus, without the stress of parking and of the traffic? close and upgrade on weekends","{'Negative': 0.097894505, 'Neutral': 0.66039956, 'Positive': 0.24170592}"
Roma,to administer a city like rome you need the courage to make decisions that initially might seem unpopular and they certainly don't have it,"{'Negative': 0.5114429, 'Neutral': 0.43279538, 'Positive': 0.055761732}"
Roma,"accident, the traffic police are investigating ciro's cell phone. the has yet to solve the yellow of the dynamics of the clash: analysis of the footballer's and the train driver's mobile phones. ""unreliable"" witnesses","{'Negative': 0.5642896, 'Neutral': 0.41099015, 'Positive': 0.024720253}"
Roma,"extensions for the green band, no eh... only for what suits him!","{'Negative': 0.05477987, 'Neutral': 0.6445258, 'Positive': 0.30069435}"
Roma,i don't understand the problem,"{'Negative': 0.89997417, 'Neutral': 0.09460087, 'Positive': 0.005424936}"
Roma,on the other hand we put the gates,"{'Negative': 0.2070396, 'Neutral': 0.73991674, 'Positive': 0.053043667}"
Roma,is right. they should make nice shelving,"{'Negative': 0.04122463, 'Neutral': 0.29117703, 'Positive': 0.6675983}"
Roma,indecorous and your cognitive activity gone to hell.,"{'Negative': 0.9559567, 'Neutral': 0.040454254, 'Positive': 0.0035889798}"
Roma,aprile pm,"{'Negative': 0.15208864, 'Neutral': 0.65722877, 'Positive': 0.19068256}"
Roma,and madonna what rotten classists you are,"{'Negative': 0.9586707, 'Neutral': 0.038602173, 'Positive': 0.002727067}"
Roma,"with virginia rays they freed via tuscolana, viale regina margherita and piazza vittorio from illegal occupation of street vendors.with gualtieri?","{'Negative': 0.080679156, 'Neutral': 0.83604467, 'Positive': 0.08327618}"
Roma,not even in calcutta...,"{'Negative': 0.3802616, 'Neutral': 0.5799464, 'Positive': 0.03979204}"
Roma,"""welcome to marvellous""","{'Negative': 0.0072156684, 'Neutral': 0.14297037, 'Positive': 0.84981394}"
Roma,they were rehearsing the first stand of the expo in rome,"{'Negative': 0.01830747, 'Neutral': 0.91803145, 'Positive': 0.06366114}"
Roma,"we also thank , let's not forget","{'Negative': 0.009397356, 'Neutral': 0.27621973, 'Positive': 0.71438295}"
Roma,what does the decoration core do? via casina,"{'Negative': 0.04788705, 'Neutral': 0.9172708, 'Positive': 0.034842134}"
Roma,will celebrate the competition bill approved the day before yesterday?,"{'Negative': 0.0026882875, 'Neutral': 0.39060694, 'Positive': 0.6067048}"
Roma,now that we are moving towards a -year extension they can sleep peacefully,"{'Negative': 0.01162177, 'Neutral': 0.34437853, 'Positive': 0.6439997}"
Roma,"a true original ""underpants"" with knickers, bras and cardboard boxes hanging as shelves, all in viale aventino facing fao and palatino. the decorum this unknown. thanks","{'Negative': 0.08161316, 'Neutral': 0.6277756, 'Positive': 0.29061124}"
Roma,"we cross by bike at the intersection of the cycle path with viale opita opium one in an suv does not even respect precedence and yells and inveighs says that ""work in progress, i work at the town hall!"" but just look at pictures!","{'Negative': 0.66884303, 'Neutral': 0.29521957, 'Positive': 0.0359374}"
Roma,"i've been working there for years to report this stuff. sometimes results, but then you go back. a model for interpreting this is offered by carl schmitt...","{'Negative': 0.09839445, 'Neutral': 0.81726396, 'Positive': 0.08434164}"
Roma,marconi : bridge of science ... like this ... maybe if there was light it would be ... better,"{'Negative': 0.09377127, 'Neutral': 0.5566874, 'Positive': 0.34954134}"
Roma,nice this monster on via cavour which severely limits the flow of traffic by stopping in the second row. and the police where are they? does anyone ever see them? what does say?,"{'Negative': 0.89021933, 'Neutral': 0.10140948, 'Positive': 0.008371138}"
Roma,kjajajaajaaa,"{'Negative': 0.16622108, 'Neutral': 0.7401966, 'Positive': 0.09358233}"
Roma,"in italy all rights, no duties","{'Negative': 0.043209545, 'Neutral': 0.77698094, 'Positive': 0.17980947}"
Roma,i would say absolutely not...as for everything else in rome...,"{'Negative': 0.52508765, 'Neutral': 0.43373153, 'Positive': 0.041180804}"
Roma,here's what happens in front of the gate of a school not attended by the at the exit time,"{'Negative': 0.51122683, 'Neutral': 0.4759819, 'Positive': 0.012791255}"
Roma,"there is no rule for timetables, nor unloading areas","{'Negative': 0.2909637, 'Neutral': 0.6773958, 'Positive': 0.03164045}"
Roma,in piazza bishopio in rome there are often double row cars blocking the traffic but i have never seen the . are you there?,"{'Negative': 0.54890525, 'Neutral': 0.42930633, 'Positive': 0.021788435}"
Roma,"no, there isn't rome, and what's worse is that the chaos we live in doesn't seem to bother that much, after all we haven't had a mayor for many years... against whom could we protest , who could be asked to intervene to restore a minimum of urban decorum?","{'Negative': 0.8113652, 'Neutral': 0.16910991, 'Positive': 0.019524978}"
Roma,usually for early morning unloading,"{'Negative': 0.05453188, 'Neutral': 0.8665836, 'Positive': 0.078884445}"
Roma,"in via sistina, already narrow and congested as it is, at there are six trucks loading and unloading goods. but isn't there a rule? is there no timetable, is there no one to check?","{'Negative': 0.5357966, 'Neutral': 0.42661986, 'Positive': 0.037583522}"
Roma,"i'd like to understand where you live, to speak like this. until he touches you under your door, indifference and indifference guide you. you speak without knowing and knowing the situation, good for you.","{'Negative': 0.44477966, 'Neutral': 0.458451, 'Positive': 0.096769355}"
Roma,ridge san paolo / pyramid / circus maximus piazza albania - via pyramid cestia danger for,"{'Negative': 0.06355478, 'Neutral': 0.90625626, 'Positive': 0.03018893}"
Roma,btw the thing is that the atac page blocks anyone who criticizes and unbearable stuff (i'm scared to even tag them).i appreciate much more pages like who know they're providing a shitty service and take silent complaints,"{'Negative': 0.5598034, 'Neutral': 0.3196036, 'Positive': 0.12059295}"
Roma,i confirm,"{'Negative': 0.09657005, 'Neutral': 0.59088606, 'Positive': 0.3125439}"
Roma,why are they ashamed. perhaps.,"{'Negative': 0.65716827, 'Neutral': 0.32916355, 'Positive': 0.013668272}"
Roma,why hasn't 's account been active since june ???,"{'Negative': 0.50763106, 'Neutral': 0.47441033, 'Positive': 0.017958619}"
Roma,and then calls you to tell you that you indicated non-priority things to him (happened with myself),"{'Negative': 0.40247068, 'Neutral': 0.5684666, 'Positive': 0.02906271}"
Roma,your fb profile is known. as known are your legal campaigns a lot per kilo. all your exasperation oozes classism and racism a mile away. the problem is not what you suffer but what you ask for: militarisation.,"{'Negative': 0.9067356, 'Neutral': 0.085090384, 'Positive': 0.008174083}"
Roma,"here's how a condominium in via sisto iv solves the problem of the driveway, putting safety in the vicinity of a school at risk.","{'Negative': 0.17890458, 'Neutral': 0.6702428, 'Positive': 0.15085256}"
Roma,there are those who go to /130 in urban centers everything is fine i think you are the only one who respects the limits true.,"{'Negative': 0.011768967, 'Neutral': 0.25243095, 'Positive': 0.7358001}"
