,Topic,Count,Name,Representation,Representative_Docs
0,0,605,0_command_metropolitan_division_th,"['command', 'metropolitan', 'division', 'th', 'police', 'lisbon', 'parish', 'psp', 'theft', 'carried']","['arrested for theftthe lisbon metropolitan command of the psp, through the rd police division, on february , at :05 pm, in the parish of carnide, in lisbon, proceeded to the arrest in flagrante delicto of a man, aged ... https: //', 'the lisbon metropolitan command of the psp, through the police division of loures, arrested a -year-old young man, on suspicion of committing the crime of drug trafficking.', 'the th police division, on august, at pm, in the parish of penha de frana, proceeded to arrest a -year-old man in flagrante delicto, on suspicion of committing the crime of drug trafficking.']"
1,1,542,1_detained_command_metropolitan_vs,"['detained', 'command', 'metropolitan', 'vs', 'cometlis', 'pickpockets', 'lisbon', 'seizure', 'schedule', 'psp']","['the public security police - metropolitan command of lisbon makes known weekly, through the "" ..."" curiosities about cometlis.', 'the public security police - metropolitan command of lisbon makes known weekly, through the "" ..."" curiosities about cometlis.', 'the public security police - metropolitan command of lisbon makes known weekly, through the "" ..."" curiosities about cometlis.']"
2,2,324,2_restricted_accident_avenida_road,"['restricted', 'accident', 'avenida', 'road', 'circular', 'traffic', '2nd', 'ip', 'eusbio', 'silva']","['avenida general norton matos (2nd circular): restricted traffic, due to a road accident, south/north direction', 'avenida general norton matos (2nd circular): restricted traffic, due to a road accident, north / south direction', 'avenida eusbio da silva ferreira (2nd circular): benfica/airport, restricted traffic due to a road accident.']"
3,3,258,3_comando_metropolitano_lisboa_theft,"['comando', 'metropolitano', 'lisboa', 'theft', 'psp', 'da', 'ferreira', 'thanks', 'conditioning', 'stretching']","['psp - comando metropolitano de lisboa: arrested for theft', 'psp - comando metropolitano de lisboa: arrested for theft', 'psp - comando metropolitano de lisboa: arrested for theft']"
4,4,228,4_drug_trafficking_arrested_theft,"['drug', 'trafficking', 'arrested', 'theft', 'qualified', 'burglary', 'aggravated', 'roubo', 'shoplifting', 'release']","['arrested for drug trafficking', 'arrested for drug trafficking', 'arrested for theft and drug trafficking release']"
5,5,202,5_inform_cut_caution_drive,"['inform', 'cut', 'caution', 'drive', 'alternatives', 'cutwe', 'look', 'direction', 'lane', 'like']","['traffic conditioningwe would like to inform you that due to an accident on the ic , towards algs - sacavm, after the ic junction, traffic only circulates on the right lane.drive with caution, look for alternatives.', 'traffic conditioninglease be advised that due to a road accident on av. city of porto, on the nd ring road, heading south/north, traffic is partially cut off on the two lanes on the left.drive with caution and look for alternatives.', 'complete road cutwe inform you that, due to a road accident, between heavy vehicles and light vehicle, traffic is completely cut off on the north-south axis access ic17 towards vasco da gama bridge. alternatives are recommended nd circular and cril circular with caution']"
6,6,182,6_release_detention_preventive_pretrial,"['release', 'detention', 'preventive', 'pretrial', 'domestic', 'network', 'violence', 'prison', 'dismantled', 'trafficking']","['""pretrial detention for domestic violence detainee"" release', '""pretrial detention for detained for domestic violence"" release', '""pretrial detention for detained for domestic violence"" release']"
7,7,166,7_restored_advises_learn_fixed,"['restored', 'advises', 'learn', 'fixed', 'home', 'held', 'detained', 'gi', 'wheels', 'love']","['road circulation restored.', 'road circulation restored.', 'road circulation restored']"
8,8,164,8_protect_safety_humane_cohesive,"['protect', 'safety', 'humane', 'cohesive', 'integral', 'strong', 'health', 'service', 'citizen', 'public']","['good week protect yourself and protect others.an integral, humane, strong, cohesive police at the service of the citizen.', 'protect yourself and protect others.be a public health agent.an integral, humane, strong, cohesive police at the service of the citizen.', 'protect yourself and protect others.be a public health agent.an integral, humane, strong, cohesive police at the service of the citizen.']"
9,9,163,9_facebook_posted_photo_complaint,"['facebook', 'posted', 'photo', 'complaint', 'war', 'dating', 'new', 'campaign', 'wishes', 'good']","['i posted a new photo on facebook', 'i posted a new photo on facebook', 'i posted a new photo on facebook']"
10,10,136,10_possession_committing_suspicion_prohibited,"['possession', 'committing', 'suspicion', 'prohibited', 'crime', 'weapons', 'weapon', 'illegal', 'old', 'year']","['the loures police division proceeded to arrest a young man, aged , on suspicion of committing the crime of domestic violence and possession of a prohibited weapon.', 'the loures police division arrested a -year-old man on suspicion of committing the crime of domestic violence and possession of prohibited weapons.', 'the th police division, in the parish of beato, arrested a -year-old man in flagrante delicto, on suspicion of committing the crime of possession of an illegal weapon, in the context of domestic violence.']"
11,11,79,11_normalized_situation_circulation_drive,"['normalized', 'situation', 'circulation', 'drive', 'birds', 'caution', 'safely', 'seized', '', '']","['normalized situation.', 'normalized situation.', 'normalized situation.']"
