,Topic,Count,Name,Representation,Representative_Docs
0,0,625,0_don_going_let_know,"['don', 'going', 'let', 'know', 'remember', 'plan', 'life', 'pet', 'careful', 'drive']","[""don't end the party with a bad drink if you are going out to enjoy the night and you plan to drink, better use .for your safety and that of the rest.at the wheel alcohol drugs safety"", 'morning . remind you that this we are going to carry out breathalyzer controls, so you know, if you go out for lunch or dinner, with friends or co-workers , ""either you drink or you drive"" safety', 'remind you that both on eve and on we are going to carry out breathalyzer controls, so you know, if you go out for lunch or dinner, with friends, co-workers or family, , ""either you drink or you drive"" safety']"
1,1,547,1_vehicle_safety_use_pedestrian,"['vehicle', 'safety', 'use', 'pedestrian', 'speed', 'respect', 'distance', 'sidewalks', 'road', 'roads']","['is a simple and rewarding daily activity.if you need to get rid of furniture or other household objects that cannot be deposited in the usual containers on the street, here is the link to the collection points in .', 'is a simple and rewarding daily activity.if you need to get rid of furniture or other household objects that cannot be deposited in the usual containers on the street, here is the link to the collection points in .', 'is a simple and rewarding daily activity.if you need to get rid of furniture or other household objects that cannot be deposited in the usual containers on the street, here is the link to the collection points in .']"
2,2,362,2_agents_arrested_crime_health,"['agents', 'arrested', 'crime', 'health', 'individual', 'arrest', 'district', 'cocaine', 'seized', 'detain']","['three people arrested for a crime against public health.agents from surprised them ""red-handed"" when they were selling the .narcotic substances were seized in doses prepared for sale and a total of .', 'plainclothes agents from the district detain an individual for a crime against public health. the detainee was carrying various narcotic substances in small doses and cash divided into bills. security', 'two people arrested in the district for a crime against public health.agents of the central security unit, who were carrying out a vehicle control in the area, seized grams of cocaine and three mobile phones from the detainees.']"
3,3,318,3_training_police_work_project,"['training', 'police', 'work', 'project', 'unit', 'services', 'participated', 'madrid', 'service', 'units']","['the call signs , police officers from the night citizen protection unit, begin the service.they reinforce the presence and security throughout the city, supporting the units of the districts. your safety are for you', 'the call signs , police officers from the night citizen protection unit, begin the service.they reinforce the presence and security throughout the city, supporting the units of the districts. your safety are for you', 'the call signs , police officers from the night citizen protection unit, begin the service.they reinforce the presence and security throughout the city, supporting the units of the districts. your safety are for you']"
4,4,313,4_day_need_enjoy_night,"['day', 'need', 'enjoy', 'night', 'year', 'happy', 'shift', 'ensure', 'morning', 'hours']","[""morning . although it's cold, it's a beautiful day to enjoy . bundle up and go for a walk.we will ensure your hours a day.if you need us you know: are for you"", 'tonight, like every night, we will patrol to ensure your . municipal police: whenever. anywhere. we are with you. if you need us, you know days hours', 'tonight, like all of us, we will patrol to ensure your .whenever. anywhere. are with you.if you need us, you know: days a year and hours a day. we never ""close"". are for you']"
5,5,274,5_madrid_del_died_la,"['madrid', 'del', 'died', 'la', 'plaza', 'san', 'police', 'patron', 'duty', 'municipal']","[""i traffic cuts begin on the occasion of the women's race with a route: serrano, alfonso xii, carlos v, pso del prado, cibeles, coln, gnova, a. aguilera, m. urquijo, and final in pso camoens. for more information"", 'remember that on sundays, the paseo del prado is closed to traffic in the plaza de coln direction from the glorieta del emperador carlos v to the plaza de cibeles so that pedestrians can enjoy this emblematic space of , come by https ://', 'we remind you that traffic is closed on the occasion of the and until the end of the event, pza. de coln, p. de recoletos, pza. de cibeles, alcal, gran va, pza. de callao, p. del prado, plaza de cnovas del castillo and the glorieta del emperador carlos v.']"
6,6,242,6_campaign_vehicles_control_surveillance,"['campaign', 'vehicles', 'control', 'surveillance', 'transport', 'objective', 'food', 'rate', 'facilitate', 'consensual']","['. we start the week with a new campaign for surveillance and control of bicycles and urban mobility vehicles.objective: reduce the accident rate both in , users and . safety', '. we start the week with a new campaign for surveillance and control of bicycles and urban mobility vehicles.objective: reduce the accident rate both in cyclists, users and . safety', '. we start the week with a new campaign to monitor and control bicycles and urban mobility vehicles.objective: to reduce the accident rate, both in cyclists, vmu users and pedestrians.']"
7,7,220,7_aggression_protection_abuse_minors,"['aggression', 'protection', 'abuse', 'minors', 'specialized', 'support', 'trace', 'women', 'victim', 'help']","['hate crimes are those in which the person carrying out the aggression chooses the victim based on their sexual orientation, gender identity, sex, social exclusion, ideology, origin, disability or illness.report / delitosdeodio.es', 'hate crimes are those in which the person carrying out the aggression chooses the victim based on their sexual orientation, gender identity, sex, social exclusion, ideology, origin, disability or illness.report / delitosdeodio.es', 'hate crimes are those in which the person carrying out the aggression chooses the victim based on their sexual orientation, gender identity, sex, social exclusion, ideology, origin, disability or illness.report / delitosdeodio.es']"
8,8,193,8_30_00_restrictions_stadium,"['30', '00', 'restrictions', 'stadium', 'parking', 'game', 'cuts', 'miss', 'match', 'santiago']","[""tonight we have a match at the santiago bernabeu at :00 p.m.remember: road traffic cuts and parking restrictions in the area of influence of the stadium.don't miss the kick off, leave the car at home, use ."", ""tonight we have a match at the santiago bernabeu at :00 p.m.remember: road traffic cuts and parking restrictions in the area of influence of the stadium.don't miss the kick off, leave the car at home, use ."", ""tonight we have a game at the santiago bernabeu at :00 p.m.remember: road traffic cuts and parking restrictions in the area of influence of the stadium.don't miss the kick off, leave the car at home, use .""]"
9,9,176,9_prompt_rt_location_essential,"['prompt', 'rt', 'location', 'essential', '092112', 'disappeared', 'note', 'missing', 'notice', 'recommend']","['disappeared in . your rt may be essential for its prompt location.092112', 'disappeared in . your rt may be essential for its prompt location.092112', 'disappeared in . your rt may be essential for its prompt location.092112']"
10,10,140,10_00_adverse_parks_marked,"['00', 'adverse', 'parks', 'marked', 'weather', 'conditions', 'areas', 'maintain', 'alert', 'activated']","['this thursday, may from :00 p.m. to :00 a.m., the orange alert is activated due to adverse weather conditions according to forecasts by . el retiro and eight other city parks will maintain marked areas.', 'this friday, november , from :00 a.m. to :00 p.m., the yellow alert is activated due to adverse weather conditions according to forecasts by . el retiro and eight other city parks will maintain marked areas', 'this friday, may , from :00 p.m. to :00 p.m., the yellow alert is activated due to adverse weather conditions according to forecasts by . el retiro and eight other city parks will maintain marked areas.']"
11,11,118,11_disposal_shift_congratulations_add,"['disposal', 'shift', 'congratulations', 'add', 'begins', 'watching', 'good', 'night', 'tooyou', '24congratulations']","[""confirms rain on . did he catch you without checking your tires, your windshield wipers, your lights...? don't play it. safety://"", ', the night shift at your disposal.092', ""confirms rain for . did he catch you without checking your tires, your windshield wipers, your lights...? don't play it, you're still on time. ://""]"
